id,data_urls,authority_type,authority_name,program_title,program_url,item,technology_if_selected_other,short_description.en,program_status,program_start_raw,program_end_raw,payment_methods,rebate_value,amount.type,amount.number,amount.unit,amount.minimum,amount.maximum,amount.representative,bonus_description,equipment_standards_restrictions,equipment_capacity_restrictions,contractor_restrictions,income_restrictions,tax_filing_status_restrictions,owner_status,other_restrictions,stacking_details,financing_details,editorial_notes
CO-1,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,geothermal_heating_installation,,$1700 rebate for ENERGY STAR Geothermal Heat Pump at least 14.1 EER.,active,2023-01-01,2023-12-31,rebate,"$1,700",dollar_amount,1700,,,1700,,,at least 14.1 EER,,,,,homeowner,,,,
CO-2,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,weatherization,,Rebate of $0.50 per sq ft up to $500 for Attic Insulation. Minimum efficiency is R-38.,active,1/1/2023,12/31/2023,rebate,$0.50 per sq ft up to $500,dollars_per_unit,0.5,square_foot,,500,,,Minimum efficiency is R-38.,,,,,homeowner,,,,
CO-3,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,weatherization,,Rebate of $1 per sq ft up to $750 for Wall Insulation. Minimum efficiency is R-13.,active,1/1/2023,12/31/2023,rebate,$1 per sq ft up to $750,dollars_per_unit,1,square_foot,,750,,,Minimum efficiency is R-13.,,,,,homeowner,,,,
CO-4,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,weatherization,,Rebate of $0.50 per sq ft up to $250 for Floor Insulation Above Crawlspace. Minimum efficiency is R-25.,active,1/1/2023,12/31/2023,rebate,$0.50 per sq ft up to $250,dollars_per_unit,0.5,square_foot,,250,,,Minimum efficiency is R-25.,,,,,homeowner,,,,
CO-5,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,weatherization,,Rebate of $0.50 per sq ft up to $250 for Basement Sidewall Insulation. Minimum efficiency is R-11.,active,1/1/2023,12/31/2023,rebate,0.50 per sq ft up to $250,dollars_per_unit,0.5,square_foot,,250,,,Minimum efficiency is R-11.,,,,,homeowner,,,,
CO-6,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,weatherization,,Rebate of $0.50 per sq ft up to $250 for Rim/Band Joist Insulation. Minimum efficiency is R-13.,active,1/1/2023,12/31/2023,rebate,$0.50 per sq ft up to $250,dollars_per_unit,0.5,square_foot,,250,,,Minimum efficiency is R-13.,,,,,homeowner,,,,
CO-7,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,weatherization,,50% rebate up to $500 for Air Sealing. Minimum efficiency: 30% ACH Reduction. Blower door test required.,active,1/1/2023,12/31/2023,rebate,50% rebate up to $500,percent,0.5,,,500,,,Minimum efficiency: 30% ACH Reduction. Blower door test required.,,,,,homeowner,,,,
CO-8,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,weatherization,,50% rebate up to $300 for Duct Sealing. Efficiency requirements apply. Duct blaster test required.,active,1/1/2023,12/31/2023,rebate,50% rebate up to $300,percent,0.5,,,300,,,Minimum efficiency: At most 8 CFM25 per 100 sq ft of condition space or ducts in unconditioned space. Duct blaster test required.,,,,,homeowner,,,,
CO-9,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_water_heater,,$500 rebate for an Energy Star rated heat pump water heater,active,1/1/2023,12/31/2023,rebate,$500,dollar_amount,500,,,500,,,Energy Star rated,,,,,homeowner,,,,
CO-10,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_air_conditioner_heater,,"Rebate up to $550 for Air Source Heat Pumps at least SEER 15, EER 12.5, HSPF 8.5. EPA Energy Star qualified installer: $550, otherwise $450.",active,1/1/2023,12/31/2023,rebate,"$550 if EPA Energy Star qualified installer, otherwise $450.",dollar_amount,550,,450,550,,,"at least SEER 15, EER 12.5, and HSPF 8.5",,Max rebate only available with EPA Energy Star qualified installer,,,homeowner,,,,
