zip,city,state_id,state_name,zcta,parent_zcta,county_fips,county_name
00501,Holtsville,NY,New York,FALSE,11742,36103,Suffolk
00544,Holtsville,NY,New York,FALSE,11742,36103,Suffolk
00601,Adjuntas,PR,Puerto Rico,TRUE,,72001,Adjuntas
00602,Aguada,PR,Puerto Rico,TRUE,,72003,Aguada
00603,Aguadilla,PR,Puerto Rico,TRUE,,72005,Aguadilla
00604,Aguadilla,PR,Puerto Rico,FALSE,00603,72005,Aguadilla
00605,Aguadilla,PR,Puerto Rico,FALSE,00603,72005,Aguadilla
00606,Maricao,PR,Puerto Rico,TRUE,,72093,Maricao
00610,Anasco,PR,Puerto Rico,TRUE,,72011,Añasco
00611,Angeles,PR,Puerto Rico,TRUE,,72141,Utuado
00612,Arecibo,PR,Puerto Rico,TRUE,,72013,Arecibo
00613,Arecibo,PR,Puerto Rico,FALSE,00612,72013,Arecibo
00614,Arecibo,PR,Puerto Rico,FALSE,00612,72013,Arecibo
00616,Bajadero,PR,Puerto Rico,TRUE,,72013,Arecibo
00617,Barceloneta,PR,Puerto Rico,TRUE,,72017,Barceloneta
00622,Boqueron,PR,Puerto Rico,TRUE,,72023,Cabo Rojo
00623,Cabo Rojo,PR,Puerto Rico,TRUE,,72023,Cabo Rojo
00624,Penuelas,PR,Puerto Rico,TRUE,,72111,Peñuelas
00627,Camuy,PR,Puerto Rico,TRUE,,72027,Camuy
00631,Castaner,PR,Puerto Rico,TRUE,,72081,Lares
00636,Rosario,PR,Puerto Rico,TRUE,,72125,San Germán
00637,Sabana Grande,PR,Puerto Rico,TRUE,,72121,Sabana Grande
00638,Ciales,PR,Puerto Rico,TRUE,,72039,Ciales
00641,Utuado,PR,Puerto Rico,TRUE,,72141,Utuado
00646,Dorado,PR,Puerto Rico,TRUE,,72051,Dorado
00647,Ensenada,PR,Puerto Rico,TRUE,,72055,Guánica
00650,Florida,PR,Puerto Rico,TRUE,,72054,Florida
00652,Garrochales,PR,Puerto Rico,TRUE,,72013,Arecibo
00653,Guanica,PR,Puerto Rico,TRUE,,72055,Guánica
00656,Guayanilla,PR,Puerto Rico,TRUE,,72059,Guayanilla
00659,Hatillo,PR,Puerto Rico,TRUE,,72065,Hatillo
00660,Hormigueros,PR,Puerto Rico,TRUE,,72067,Hormigueros
00662,Isabela,PR,Puerto Rico,TRUE,,72071,Isabela
00664,Jayuya,PR,Puerto Rico,TRUE,,72073,Jayuya
00667,Lajas,PR,Puerto Rico,TRUE,,72079,Lajas
00669,Lares,PR,Puerto Rico,TRUE,,72081,Lares
00670,Las Marias,PR,Puerto Rico,TRUE,,72083,Las Marías
00674,Manati,PR,Puerto Rico,TRUE,,72091,Manatí
00676,Moca,PR,Puerto Rico,TRUE,,72099,Moca
00677,Rincon,PR,Puerto Rico,TRUE,,72117,Rincón
00678,Quebradillas,PR,Puerto Rico,TRUE,,72115,Quebradillas
00680,Mayaguez,PR,Puerto Rico,TRUE,,72097,Mayagüez
00681,Mayaguez,PR,Puerto Rico,FALSE,00682,72097,Mayagüez
00682,Mayaguez,PR,Puerto Rico,TRUE,,72097,Mayagüez
00683,San German,PR,Puerto Rico,TRUE,,72125,San Germán
00685,San Sebastian,PR,Puerto Rico,TRUE,,72131,San Sebastián
00687,Morovis,PR,Puerto Rico,TRUE,,72101,Morovis
00688,Sabana Hoyos,PR,Puerto Rico,TRUE,,72013,Arecibo
00690,San Antonio,PR,Puerto Rico,TRUE,,72005,Aguadilla
00692,Vega Alta,PR,Puerto Rico,TRUE,,72143,Vega Alta
00693,Vega Baja,PR,Puerto Rico,TRUE,,72145,Vega Baja
00694,Vega Baja,PR,Puerto Rico,TRUE,,72145,Vega Baja
00698,Yauco,PR,Puerto Rico,TRUE,,72153,Yauco
00703,Aguas Buenas,PR,Puerto Rico,TRUE,,72007,Aguas Buenas
00704,Aguirre,PR,Puerto Rico,TRUE,,72123,Salinas
00705,Aibonito,PR,Puerto Rico,TRUE,,72009,Aibonito
00707,Maunabo,PR,Puerto Rico,TRUE,,72095,Maunabo
00714,Arroyo,PR,Puerto Rico,TRUE,,72015,Arroyo
00715,Mercedita,PR,Puerto Rico,TRUE,,72113,Ponce
00716,Ponce,PR,Puerto Rico,TRUE,,72113,Ponce
00717,Ponce,PR,Puerto Rico,TRUE,,72113,Ponce
00718,Naguabo,PR,Puerto Rico,TRUE,,72103,Naguabo
00719,Naranjito,PR,Puerto Rico,TRUE,,72105,Naranjito
00720,Orocovis,PR,Puerto Rico,TRUE,,72107,Orocovis
00721,Palmer,PR,Puerto Rico,FALSE,00745,72119,Río Grande
00723,Patillas,PR,Puerto Rico,TRUE,,72109,Patillas
00725,Caguas,PR,Puerto Rico,TRUE,,72025,Caguas
00726,Caguas,PR,Puerto Rico,FALSE,00725,72025,Caguas
00727,Caguas,PR,Puerto Rico,TRUE,,72025,Caguas
00728,Ponce,PR,Puerto Rico,TRUE,,72113,Ponce
00729,Canovanas,PR,Puerto Rico,TRUE,,72029,Canóvanas
00730,Ponce,PR,Puerto Rico,TRUE,,72113,Ponce
00731,Ponce,PR,Puerto Rico,TRUE,,72113,Ponce
00732,Ponce,PR,Puerto Rico,FALSE,00730,72113,Ponce
00733,Ponce,PR,Puerto Rico,FALSE,00730,72113,Ponce
00734,Ponce,PR,Puerto Rico,FALSE,00716,72113,Ponce
00735,Ceiba,PR,Puerto Rico,TRUE,,72037,Ceiba
00736,Cayey,PR,Puerto Rico,TRUE,,72035,Cayey
00737,Cayey,PR,Puerto Rico,FALSE,00736,72035,Cayey
00738,Fajardo,PR,Puerto Rico,TRUE,,72053,Fajardo
00739,Cidra,PR,Puerto Rico,TRUE,,72041,Cidra
00740,Puerto Real,PR,Puerto Rico,TRUE,,72053,Fajardo
00741,Punta Santiago,PR,Puerto Rico,TRUE,,72069,Humacao
00742,Roosevelt Roads,PR,Puerto Rico,FALSE,00735,72037,Ceiba
00744,Rio Blanco,PR,Puerto Rico,FALSE,00718,72103,Naguabo
00745,Rio Grande,PR,Puerto Rico,TRUE,,72119,Río Grande
00751,Salinas,PR,Puerto Rico,TRUE,,72123,Salinas
00754,San Lorenzo,PR,Puerto Rico,TRUE,,72129,San Lorenzo
00757,Santa Isabel,PR,Puerto Rico,TRUE,,72133,Santa Isabel
00765,Vieques,PR,Puerto Rico,TRUE,,72147,Vieques
00766,Villalba,PR,Puerto Rico,TRUE,,72149,Villalba
00767,Yabucoa,PR,Puerto Rico,TRUE,,72151,Yabucoa
00769,Coamo,PR,Puerto Rico,TRUE,,72043,Coamo
00771,Las Piedras,PR,Puerto Rico,TRUE,,72085,Las Piedras
00772,Loiza,PR,Puerto Rico,TRUE,,72087,Loíza
00773,Luquillo,PR,Puerto Rico,TRUE,,72089,Luquillo
00775,Culebra,PR,Puerto Rico,TRUE,,72049,Culebra
00777,Juncos,PR,Puerto Rico,TRUE,,72077,Juncos
00778,Gurabo,PR,Puerto Rico,TRUE,,72063,Gurabo
00780,Coto Laurel,PR,Puerto Rico,TRUE,,72113,Ponce
00782,Comerio,PR,Puerto Rico,TRUE,,72045,Comerío
00783,Corozal,PR,Puerto Rico,TRUE,,72047,Corozal
00784,Guayama,PR,Puerto Rico,TRUE,,72057,Guayama
00785,Guayama,PR,Puerto Rico,FALSE,00784,72057,Guayama
00786,La Plata,PR,Puerto Rico,TRUE,,72009,Aibonito
00791,Humacao,PR,Puerto Rico,TRUE,,72069,Humacao
00792,Humacao,PR,Puerto Rico,FALSE,00791,72069,Humacao
00794,Barranquitas,PR,Puerto Rico,TRUE,,72019,Barranquitas
00795,Juana Diaz,PR,Puerto Rico,TRUE,,72075,Juana Díaz
00801,St Thomas,VI,Virgin Islands,FALSE,00802,78030,St. Thomas
00802,St Thomas,VI,Virgin Islands,TRUE,,78030,St. Thomas
00803,St Thomas,VI,Virgin Islands,FALSE,00802,78030,St. Thomas
00804,St Thomas,VI,Virgin Islands,FALSE,00802,78030,St. Thomas
00805,St Thomas,VI,Virgin Islands,FALSE,00802,78030,St. Thomas
00820,Christiansted,VI,Virgin Islands,TRUE,,78010,St. Croix
00821,Christiansted,VI,Virgin Islands,FALSE,00820,78010,St. Croix
00822,Christiansted,VI,Virgin Islands,FALSE,00820,78010,St. Croix
00823,Christiansted,VI,Virgin Islands,FALSE,00820,78010,St. Croix
00824,Christiansted,VI,Virgin Islands,FALSE,00820,78010,St. Croix
00830,St John,VI,Virgin Islands,TRUE,,78020,St. John
00831,St John,VI,Virgin Islands,FALSE,00830,78020,St. John
00840,Frederiksted,VI,Virgin Islands,TRUE,,78010,St. Croix
00841,Frederiksted,VI,Virgin Islands,FALSE,00840,78010,St. Croix
00850,Kingshill,VI,Virgin Islands,TRUE,,78010,St. Croix
00851,Kingshill,VI,Virgin Islands,TRUE,,78010,St. Croix
00901,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00902,San Juan,PR,Puerto Rico,FALSE,00907,72127,San Juan
00906,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00907,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00908,San Juan,PR,Puerto Rico,FALSE,00907,72127,San Juan
00909,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00910,San Juan,PR,Puerto Rico,FALSE,00909,72127,San Juan
00911,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00912,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00913,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00914,San Juan,PR,Puerto Rico,FALSE,00979,72031,Carolina
00915,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00916,San Juan,PR,Puerto Rico,FALSE,00956,72021,Bayamón
00917,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00918,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00919,San Juan,PR,Puerto Rico,FALSE,00918,72127,San Juan
00920,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00921,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00922,San Juan,PR,Puerto Rico,FALSE,00920,72127,San Juan
00923,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00924,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00925,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00926,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00927,San Juan,PR,Puerto Rico,TRUE,,72127,San Juan
00928,San Juan,PR,Puerto Rico,FALSE,00927,72127,San Juan
00929,San Juan,PR,Puerto Rico,FALSE,00924,72127,San Juan
00930,San Juan,PR,Puerto Rico,FALSE,00927,72127,San Juan
00931,San Juan,PR,Puerto Rico,FALSE,00918,72127,San Juan
00933,San Juan,PR,Puerto Rico,FALSE,00901,72127,San Juan
00934,Fort Buchanan,PR,Puerto Rico,TRUE,,72061,Guaynabo
00935,San Juan,PR,Puerto Rico,FALSE,00918,72127,San Juan
00936,San Juan,PR,Puerto Rico,FALSE,00926,72127,San Juan
00937,San Juan,PR,Puerto Rico,FALSE,00918,72127,San Juan
00939,San Juan,PR,Puerto Rico,FALSE,00918,72127,San Juan
00940,San Juan,PR,Puerto Rico,FALSE,00918,72127,San Juan
00949,Toa Baja,PR,Puerto Rico,TRUE,,72137,Toa Baja
00950,Toa Baja,PR,Puerto Rico,TRUE,,72051,Dorado
00951,Toa Baja,PR,Puerto Rico,TRUE,,72137,Toa Baja
00952,Sabana Seca,PR,Puerto Rico,TRUE,,72137,Toa Baja
00953,Toa Alta,PR,Puerto Rico,TRUE,,72135,Toa Alta
00954,Toa Alta,PR,Puerto Rico,FALSE,00953,72135,Toa Alta
00955,San Juan,PR,Puerto Rico,FALSE,00918,72127,San Juan
00956,Bayamon,PR,Puerto Rico,TRUE,,72021,Bayamón
00957,Bayamon,PR,Puerto Rico,TRUE,,72021,Bayamón
00958,Bayamon,PR,Puerto Rico,FALSE,00739,72041,Cidra
00959,Bayamon,PR,Puerto Rico,TRUE,,72021,Bayamón
00960,Bayamon,PR,Puerto Rico,TRUE,,72021,Bayamón
00961,Bayamon,PR,Puerto Rico,TRUE,,72021,Bayamón
00962,Catano,PR,Puerto Rico,TRUE,,72033,Cataño
00963,Catano,PR,Puerto Rico,FALSE,00962,72033,Cataño
00965,Guaynabo,PR,Puerto Rico,TRUE,,72061,Guaynabo
00966,Guaynabo,PR,Puerto Rico,TRUE,,72061,Guaynabo
00968,Guaynabo,PR,Puerto Rico,TRUE,,72061,Guaynabo
00969,Guaynabo,PR,Puerto Rico,TRUE,,72061,Guaynabo
00970,Guaynabo,PR,Puerto Rico,FALSE,00966,72061,Guaynabo
00971,Guaynabo,PR,Puerto Rico,TRUE,,72061,Guaynabo
00975,San Juan,PR,Puerto Rico,FALSE,00918,72127,San Juan
00976,Trujillo Alto,PR,Puerto Rico,TRUE,,72139,Trujillo Alto
00977,Trujillo Alto,PR,Puerto Rico,FALSE,00926,72139,Trujillo Alto
00978,Saint Just,PR,Puerto Rico,FALSE,00976,72139,Trujillo Alto
00979,Carolina,PR,Puerto Rico,TRUE,,72031,Carolina
00981,Carolina,PR,Puerto Rico,FALSE,00983,72031,Carolina
00982,Carolina,PR,Puerto Rico,TRUE,,72031,Carolina
00983,Carolina,PR,Puerto Rico,TRUE,,72031,Carolina
00984,Carolina,PR,Puerto Rico,FALSE,00983,72031,Carolina
00985,Carolina,PR,Puerto Rico,TRUE,,72031,Carolina
00986,Carolina,PR,Puerto Rico,FALSE,00983,72031,Carolina
00987,Carolina,PR,Puerto Rico,TRUE,,72031,Carolina
00988,Carolina,PR,Puerto Rico,FALSE,00983,72031,Carolina
01001,Agawam,MA,Massachusetts,TRUE,,25013,Hampden
01002,Amherst,MA,Massachusetts,TRUE,,25015,Hampshire
01003,Amherst,MA,Massachusetts,TRUE,,25015,Hampshire
01004,Amherst,MA,Massachusetts,FALSE,01002,25015,Hampshire
01005,Barre,MA,Massachusetts,TRUE,,25027,Worcester
01007,Belchertown,MA,Massachusetts,TRUE,,25015,Hampshire
01008,Blandford,MA,Massachusetts,TRUE,,25013,Hampden
01009,Bondsville,MA,Massachusetts,TRUE,,25013,Hampden
01010,Brimfield,MA,Massachusetts,TRUE,,25013,Hampden
01011,Chester,MA,Massachusetts,TRUE,,25013,Hampden
01012,Chesterfield,MA,Massachusetts,TRUE,,25015,Hampshire
01013,Chicopee,MA,Massachusetts,TRUE,,25013,Hampden
01014,Chicopee,MA,Massachusetts,FALSE,01020,25013,Hampden
01020,Chicopee,MA,Massachusetts,TRUE,,25013,Hampden
01021,Chicopee,MA,Massachusetts,FALSE,01020,25013,Hampden
01022,Chicopee,MA,Massachusetts,TRUE,,25013,Hampden
01026,Cummington,MA,Massachusetts,TRUE,,25015,Hampshire
01027,Easthampton,MA,Massachusetts,TRUE,,25015,Hampshire
01028,East Longmeadow,MA,Massachusetts,TRUE,,25013,Hampden
01029,East Otis,MA,Massachusetts,TRUE,,25003,Berkshire
01030,Feeding Hills,MA,Massachusetts,TRUE,,25013,Hampden
01031,Gilbertville,MA,Massachusetts,TRUE,,25027,Worcester
01032,Goshen,MA,Massachusetts,TRUE,,25015,Hampshire
01033,Granby,MA,Massachusetts,TRUE,,25015,Hampshire
01034,Granville,MA,Massachusetts,TRUE,,25013,Hampden
01035,Hadley,MA,Massachusetts,TRUE,,25015,Hampshire
01036,Hampden,MA,Massachusetts,TRUE,,25013,Hampden
01037,Hardwick,MA,Massachusetts,TRUE,,25027,Worcester
01038,Hatfield,MA,Massachusetts,TRUE,,25015,Hampshire
01039,Haydenville,MA,Massachusetts,TRUE,,25015,Hampshire
01040,Holyoke,MA,Massachusetts,TRUE,,25013,Hampden
01041,Holyoke,MA,Massachusetts,FALSE,01040,25013,Hampden
01050,Huntington,MA,Massachusetts,TRUE,,25015,Hampshire
01053,Leeds,MA,Massachusetts,TRUE,,25015,Hampshire
01054,Leverett,MA,Massachusetts,TRUE,,25011,Franklin
01056,Ludlow,MA,Massachusetts,TRUE,,25013,Hampden
01057,Monson,MA,Massachusetts,TRUE,,25013,Hampden
01059,North Amherst,MA,Massachusetts,FALSE,01002,25015,Hampshire
01060,Northampton,MA,Massachusetts,TRUE,,25015,Hampshire
01061,Northampton,MA,Massachusetts,FALSE,01062,25015,Hampshire
01062,Florence,MA,Massachusetts,TRUE,,25015,Hampshire
01063,Northampton,MA,Massachusetts,TRUE,,25015,Hampshire
01066,North Hatfield,MA,Massachusetts,TRUE,,25015,Hampshire
01068,Oakham,MA,Massachusetts,TRUE,,25027,Worcester
01069,Palmer,MA,Massachusetts,TRUE,,25013,Hampden
01070,Plainfield,MA,Massachusetts,TRUE,,25015,Hampshire
01071,Russell,MA,Massachusetts,TRUE,,25013,Hampden
01072,Shutesbury,MA,Massachusetts,TRUE,,25011,Franklin
01073,Southampton,MA,Massachusetts,TRUE,,25015,Hampshire
01074,South Barre,MA,Massachusetts,TRUE,,25027,Worcester
01075,South Hadley,MA,Massachusetts,TRUE,,25015,Hampshire
