State_Alpha,fips2010,cbsasub,median2022,Metro_Area_Name,county_town_name,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8,l100_1,l100_2,l100_3,l100_4,l100_5,l100_6,l100_7,l100_8,l150_1,l150_2,l150_3,l150_4,l150_5,l150_6,l150_7,l150_8,state,county,County_Name,state_name,metro
AL,0100199999,METRO33860M33860,75500,"Montgomery, AL MSA",Autauga County,42300,48350,54400,60400,65250,70100,74900,79750,52875,60438,68000,75500,81563,93625,99688,99688,79313,90656,102000,113250,122344,131438,140438,149531,01,001,Autauga County,Alabama,1
AL,0100399999,METRO19300M19300,85500,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,47900,54750,61600,68400,73900,79350,84850,90300,59875,68438,77000,85500,92375,106063,112875,112875,89813,102656,115500,128250,138563,148781,159094,169313,01,003,Baldwin County,Alabama,1
AL,0105199999,METRO33860M33860,75500,"Montgomery, AL MSA",Elmore County,42300,48350,54400,60400,65250,70100,74900,79750,52875,60438,68000,75500,81563,93625,99688,99688,79313,90656,102000,113250,122344,131438,140438,149531,01,051,Elmore County,Alabama,1
AL,0108599999,METRO33860M33860,75500,"Montgomery, AL MSA",Lowndes County,42300,48350,54400,60400,65250,70100,74900,79750,52875,60438,68000,75500,81563,93625,99688,99688,79313,90656,102000,113250,122344,131438,140438,149531,01,085,Lowndes County,Alabama,1
AL,0110199999,METRO33860M33860,75500,"Montgomery, AL MSA",Montgomery County,42300,48350,54400,60400,65250,70100,74900,79750,52875,60438,68000,75500,81563,93625,99688,99688,79313,90656,102000,113250,122344,131438,140438,149531,01,101,Montgomery County,Alabama,1
AK,0223099999,NCNTY02230N02230,92500,"Skagway Municipality, AK",Skagway Municipality,51800,59200,66600,74000,79950,85850,91800,97700,64750,74000,83250,92500,99938,114750,122125,122125,97125,111000,124875,138750,149906,160969,172125,183188,02,230,Skagway Municipality,Alaska,0
AK,0224099999,NCNTY02240N02240,94500,"Southeast Fairbanks Census Area, AK",Southeast Fairbanks Census Area,52950,60500,68050,75600,81650,87700,93750,99800,66188,75625,85063,94500,102063,117188,124750,124750,99281,113438,127594,141750,153094,164438,175781,187125,02,240,Southeast Fairbanks Census Area,Alaska,0
CO,0809799999,NCNTY08097N08097,108000,"Pitkin County, CO",Pitkin County,60500,69150,77800,86400,93350,100250,107150,114050,75625,86438,97250,108000,116688,133938,142563,142563,113438,129656,145875,162000,175031,187969,200906,213844,08,097,Pitkin County,Colorado,0
ID,1600799999,NCNTY16007N16007,74500,"Bear Lake County, ID",Bear Lake County,41750,47700,53650,59600,64400,69150,73950,78700,52188,59625,67063,74500,80500,92438,98375,98375,78281,89438,100594,111750,120750,129656,138656,147563,16,007,Bear Lake County,Idaho,0
IL,1700799999,METRO40420M40420,80500,"Rockford, IL MSA",Boone County,45100,51550,58000,64400,69600,74750,79900,85050,56375,64438,72500,80500,87000,99875,106313,106313,84563,96656,108750,120750,130500,140156,149813,159469,17,007,Boone County,Illinois,1
IL,1701199999,NCNTY17011N17011,78500,"Bureau County, IL",Bureau County,44000,50250,56550,62800,67850,72850,77900,82900,55000,62813,70688,78500,84813,97375,103625,103625,82500,94219,106031,117750,127219,136594,146063,155438,17,011,Bureau County,Illinois,0
IL,1710599999,NCNTY17105N17105,79000,"Livingston County, IL",Livingston County,44250,50600,56900,63200,68300,73350,78400,83450,55313,63250,71125,79000,85375,98000,104313,104313,82969,94875,106688,118500,128063,137531,147000,156469,17,105,Livingston County,Illinois,0
IL,1720199999,METRO40420M40420,80500,"Rockford, IL MSA",Winnebago County,45100,51550,58000,64400,69600,74750,79900,85050,56375,64438,72500,80500,87000,99875,106313,106313,84563,96656,108750,120750,130500,140156,149813,159469,17,201,Winnebago County,Illinois,1
IN,1810799999,NCNTY18107N18107,74500,"Montgomery County, IN",Montgomery County,41750,47700,53650,59600,64400,69150,73950,78700,52188,59625,67063,74500,80500,92438,98375,98375,78281,89438,100594,111750,120750,129656,138656,147563,18,107,Montgomery County,Indiana,0
IN,1814199999,METRO43780M43780,78000,"South Bend-Mishawaka, IN HUD Metro FMR Area",St. Joseph County,43700,49950,56200,62400,67400,72400,77400,82400,54625,62438,70250,78000,84250,96750,103000,103000,81938,93656,105375,117000,126375,135750,145125,154500,18,141,St. Joseph County,Indiana,1
IN,1817199999,METRO29200M18171,79500,"Warren County, IN HUD Metro FMR Area",Warren County,44550,50900,57250,63600,68700,73800,78900,84000,55688,63625,71563,79500,85875,98625,105000,105000,83531,95438,107344,119250,128813,138375,147938,157500,18,171,Warren County,Indiana,1
IA,1901199999,METRO16300N19011,90000,"Benton County, IA HUD Metro FMR Area",Benton County,50400,57600,64800,72000,77800,83550,89300,95050,63000,72000,81000,90000,97250,111625,118813,118813,94500,108000,121500,135000,145875,156656,167438,178219,19,011,Benton County,Iowa,1
IA,1904999999,METRO19780M19780,98500,"Des Moines-West Des Moines, IA HUD Metro FMR Area",Dallas County,55200,63050,70950,78800,85150,91450,97750,104050,69000,78813,88688,98500,106438,122188,130063,130063,103500,118219,133031,147750,159656,171469,183281,195094,19,049,Dallas County,Iowa,1
IA,1905599999,NCNTY19055N19055,84500,"Delaware County, IA",Delaware County,47350,54100,60850,67600,73050,78450,83850,89250,59188,67625,76063,84500,91313,104813,111563,111563,88781,101438,114094,126750,136969,147094,157219,167344,19,055,Delaware County,Iowa,0
IA,1906199999,METRO20220M20220,87500,"Dubuque, IA MSA",Dubuque County,49000,56000,63000,70000,75600,81200,86800,92400,61250,70000,78750,87500,94500,108500,115500,115500,91875,105000,118125,131250,141750,152250,162750,173250,19,061,Dubuque County,Iowa,1
IA,1907799999,METRO19780M19780,98500,"Des Moines-West Des Moines, IA HUD Metro FMR Area",Guthrie County,55200,63050,70950,78800,85150,91450,97750,104050,69000,78813,88688,98500,106438,122188,130063,130063,103500,118219,133031,147750,159656,171469,183281,195094,19,077,Guthrie County,Iowa,1
IA,1910399999,METRO26980MM3500,109000,"Iowa City, IA HUD Metro FMR Area",Johnson County,61050,69800,78500,87200,94200,101200,108150,115150,76313,87250,98125,109000,117750,135188,143938,143938,114469,130875,147188,163500,176625,189750,202781,215906,19,103,Johnson County,Iowa,1
IA,1912199999,METRO19780M19780,98500,"Des Moines-West Des Moines, IA HUD Metro FMR Area",Madison County,55200,63050,70950,78800,85150,91450,97750,104050,69000,78813,88688,98500,106438,122188,130063,130063,103500,118219,133031,147750,159656,171469,183281,195094,19,121,Madison County,Iowa,1
IA,1913999999,NCNTY19139N19139,79500,"Muscatine County, IA",Muscatine County,44550,50900,57250,63600,68700,73800,78900,84000,55688,63625,71563,79500,85875,98625,105000,105000,83531,95438,107344,119250,128813,138375,147938,157500,19,139,Muscatine County,Iowa,0
IA,1914799999,NCNTY19147N19147,79000,"Palo Alto County, IA",Palo Alto County,44250,50600,56900,63200,68300,73350,78400,83450,55313,63250,71125,79000,85375,98000,104313,104313,82969,94875,106688,118500,128063,137531,147000,156469,19,147,Palo Alto County,Iowa,0
IA,1915399999,METRO19780M19780,98500,"Des Moines-West Des Moines, IA HUD Metro FMR Area",Polk County,55200,63050,70950,78800,85150,91450,97750,104050,69000,78813,88688,98500,106438,122188,130063,130063,103500,118219,133031,147750,159656,171469,183281,195094,19,153,Polk County,Iowa,1
IA,1917199999,NCNTY19171N19171,79000,"Tama County, IA",Tama County,44250,50600,56900,63200,68300,73350,78400,83450,55313,63250,71125,79000,85375,98000,104313,104313,82969,94875,106688,118500,128063,137531,147000,156469,19,171,Tama County,Iowa,0
IA,1917599999,NCNTY19175N19175,80000,"Union County, IA",Union County,44800,51200,57600,64000,69150,74250,79400,84500,56000,64000,72000,80000,86438,99250,105625,105625,84000,96000,108000,120000,129656,139219,148875,158438,19,175,Union County,Iowa,0
IA,1918199999,METRO19780M19780,98500,"Des Moines-West Des Moines, IA HUD Metro FMR Area",Warren County,55200,63050,70950,78800,85150,91450,97750,104050,69000,78813,88688,98500,106438,122188,130063,130063,103500,118219,133031,147750,159656,171469,183281,195094,19,181,Warren County,Iowa,1
IA,1918399999,METRO26980N19183,84000,"Washington County, IA HUD Metro FMR Area",Washington County,47050,53800,60500,67200,72600,78000,83350,88750,58813,67250,75625,84000,90750,104188,110938,110938,88219,100875,113438,126000,136125,146250,156281,166406,19,183,Washington County,Iowa,1
KS,2004399999,METRO41140M41140,73000,"St. Joseph, MO-KS MSA",Doniphan County,40900,46750,52600,58400,63100,67750,72450,77100,51125,58438,65750,73000,78875,90563,96375,96375,76688,87656,98625,109500,118313,127031,135844,144563,20,043,Doniphan County,Kansas,1
KS,2005199999,NCNTY20051N20051,87000,"Ellis County, KS",Ellis County,48750,55700,62650,69600,75200,80750,86350,91900,60938,69625,78313,87000,94000,107938,114875,114875,91406,104438,117469,130500,141000,151406,161906,172313,20,051,Ellis County,Kansas,0
KS,2010199999,NCNTY20101N20101,78000,"Lane County, KS",Lane County,43700,49950,56200,62400,67400,72400,77400,82400,54625,62438,70250,78000,84250,96750,103000,103000,81938,93656,105375,117000,126375,135750,145125,154500,20,101,Lane County,Kansas,0
KS,2019999999,NCNTY20199N20199,88000,"Wallace County, KS",Wallace County,49300,56350,63400,70400,76050,81700,87300,92950,61625,70438,79250,88000,95063,109125,116188,116188,92438,105656,118875,132000,142594,153188,163688,174281,20,199,Wallace County,Kansas,0
KY,2102799999,NCNTY21027N21027,70000,"Breckinridge County, KY",Breckinridge County,39200,44800,50400,56000,60500,65000,69450,73950,49000,56000,63000,70000,75625,86813,92438,92438,73500,84000,94500,105000,113438,121875,130219,138656,21,027,Breckinridge County,Kentucky,0
KY,2104799999,METRO17300M17300,70500,"Clarksville, TN-KY HUD Metro FMR Area",Christian County,39500,45150,50800,56400,60950,65450,69950,74450,49375,56438,63500,70500,76188,87438,93063,93063,74063,84656,95250,105750,114281,122719,131156,139594,21,047,Christian County,Kentucky,1
KY,2122199999,METRO17300M17300,70500,"Clarksville, TN-KY HUD Metro FMR Area",Trigg County,39500,45150,50800,56400,60950,65450,69950,74450,49375,56438,63500,70500,76188,87438,93063,93063,74063,84656,95250,105750,114281,122719,131156,139594,21,221,Trigg County,Kentucky,1
LA,2201199999,NCNTY22011N22011,72500,"Beauregard Parish, LA",Beauregard Parish,40600,46400,52200,58000,62650,67300,71950,76600,50750,58000,65250,72500,78313,89938,95750,95750,76125,87000,97875,108750,117469,126188,134906,143625,22,011,Beauregard Parish,Louisiana,0
LA,2211399999,METRO29180N22113,70500,"Vermilion Parish, LA HUD Metro FMR Area",Vermilion Parish,39500,45150,50800,56400,60950,65450,69950,74450,49375,56438,63500,70500,76188,87438,93063,93063,74063,84656,95250,105750,114281,122719,131156,139594,22,113,Vermilion Parish,Louisiana,1
MI,2605599999,NCNTY26055N26055,88500,"Grand Traverse County, MI",Grand Traverse County,49600,56650,63750,70800,76500,82150,87800,93500,62000,70813,79688,88500,95625,109750,116875,116875,93000,106219,119531,132750,143438,154031,164625,175313,26,055,Grand Traverse County,Michigan,0
MI,2610599999,NCNTY26105N26105,71500,"Mason County, MI",Mason County,40050,45800,51500,57200,61800,66400,70950,75550,50063,57250,64375,71500,77250,88688,94438,94438,75094,85875,96563,107250,115875,124500,133031,141656,26,105,Mason County,Michigan,0
MI,2615999999,NCNTY26159N26159,80500,"Van Buren County, MI",Van Buren County,45100,51550,58000,64400,69600,74750,79900,85050,56375,64438,72500,80500,87000,99875,106313,106313,84563,96656,108750,120750,130500,140156,149813,159469,26,159,Van Buren County,Michigan,0
MN,2702799999,METRO22020M22020,100500,"Fargo, ND-MN MSA",Clay County,56300,64350,72400,80400,86850,93300,99700,106150,70375,80438,90500,100500,108563,124625,132688,132688,105563,120656,135750,150750,162844,174938,186938,199031,27,027,Clay County,Minnesota,1
MN,2710199999,NCNTY27101N27101,85500,"Murray County, MN",Murray County,47900,54750,61600,68400,73900,79350,84850,90300,59875,68438,77000,85500,92375,106063,112875,112875,89813,102656,115500,128250,138563,148781,159094,169313,27,101,Murray County,Minnesota,0
MN,2713599999,NCNTY27135N27135,84000,"Roseau County, MN",Roseau County,47050,53800,60500,67200,72600,78000,83350,88750,58813,67250,75625,84000,90750,104188,110938,110938,88219,100875,113438,126000,136125,146250,156281,166406,27,135,Roseau County,Minnesota,0
