utility_id,name
ak-alaska-village-electric-cooperative,Alaska Village Electric Cooperative
ak-golden-valley-electric-association,Golden Valley Electric Association
ak-chugach-electric-association,Chugach Electric Association
ak-homer-electric-association,Homer Electric Association
ca-lassen-municipal-utility-district,Lassen Municipal Utility District
az-trico-electric-cooperative,Trico Electric Cooperative
az-tucson-electric-power,Tucson Electric Power
ca-southern-california-edison,Southern California Edison
ca-pacific-gas-and-electric,Pacific Gas & Electric
ca-surprise-valley-electric-corp,Surprise Valley Electric Corp
co-black-hills-energy,Black Hills Energy
co-core-electric-cooperative,CORE Electric Cooperative
co-mountain-view-electric-association,Mountain View Electric Association
ca-plumas-sierra-rural-electric-cooperative,Plumas-Sierra Rural Electric Cooperative
ca-liberty-utilities,Liberty Utilities
ca-sierra-pacific-power,Sierra Pacific Power
ca-pacific-power,Pacific Power
ca-trinity-public-utilities-district,Trinity Public Utilities District
fl-florida-power-and-light,Florida Power & Light
fl-peace-river-electric-cooperative,Peace River Electric Cooperative
fl-sumter-electric-cooperative,Sumter Electric Cooperative
id-idaho-power,Idaho Power
mn-lake-country-power,Lake Country Power
mn-north-star-electric-cooperative,North Star Electric Cooperative
mn-allete,ALLETE
mt-sun-river-electric-cooperative,Sun River Electric Cooperative
nm-continental-divide-electric-cooperative,Continental Divide Electric Cooperative
nm-public-service-co-of-new-mexico,Public Service Co of New Mexico
nm-el-paso-electric,El Paso Electric
nm-otero-county-electric-cooperative,Otero County Electric Cooperative
ok-caddo-electric-cooperative,Caddo Electric Cooperative
ok-cotton-electric-cooperative,Cotton Electric Cooperative
ok-public-service-co-of-oklahoma,Public Service Co of Oklahoma
or-central-lincoln-peoples-utility-district,Central Lincoln Peoples Utility District
or-consumers-power,Consumers Power
or-eugene-water-and-electric-board,Eugene Water & Electric Board
or-lane-electric-cooperative,Lane Electric Cooperative
or-portland-general-electric,Portland General Electric
or-wasco-electric-cooperative,Wasco Electric Cooperative
ut-moon-lake-electric-association,Moon Lake Electric Association
ut-rocky-mountain-power,Rocky Mountain Power
wa-puget-sound-energy,Puget Sound Energy
wa-benton-rural-electric-association,Benton Rural Electric Association
wa-pud-no-1-of-benton-county,PUD No 1 of Benton County
wa-pacific-power,Pacific Power
wa-okanogan-county-electric-cooperative,Okanogan County Electric Cooperative
wa-pud-no-1-of-okanogan-county,PUD No 1 of Okanogan County
or-pacific-power,Pacific Power
nc-duke-energy-progress,Duke Energy Progress
nc-jones-onslow-electric-membership-corp,Jones Onslow Electric Membership Corp
la-entergy-gulf-states-louisiana-llc,Entergy Gulf States Louisiana LLC
la-entergy-louisiana,Entergy Louisiana
la-south-louisiana-electric-cooperative-association,South Louisiana Electric Cooperative Association
me-eastern-maine-electric-cooperative,Eastern Maine Electric Cooperative
me-bhe-holdings,BHE Holdings
me-emera-maine,Emera Maine
me-central-maine-power,Central Maine Power
md-choptank-electric-cooperative,Choptank Electric Cooperative
md-delmarva-power-and-light,Delmarva Power & Light
