zcta,geography_id,intersection_proportion
00601,54,1.0
00601,3202,0.987619
00601,3232,5.8e-05
00601,3273,0.012323
00602,54,1.0
00602,3203,0.999801
00602,3207,0.000199
00603,54,1.0
00603,3204,0.997801
00603,3252,0.002199
00606,54,1.0
00606,3249,0.82277
00606,3263,0.060593
00606,3279,0.116637
00610,54,1.0
00610,3203,0.000818
00610,3207,0.968933
00610,3244,0.003413
00610,3252,0.026836
00611,54,1.0
00611,3273,1.0
00612,54,1.0
00612,3208,0.978975
00612,3210,0.01219
00612,3235,0.008835
00616,54,1.0
00616,3208,1.0
00617,54,1.0
00617,3210,0.996627
00617,3229,0.003373
00622,54,1.0
00622,3213,1.0
00623,54,1.0
00623,3213,1.0
00624,54,1.0
00624,3232,0.00013
00624,3258,0.955599
00624,3259,0.044271
00627,54,1.0
00627,3215,0.999701
00627,3260,0.000299
00631,54,1.0
00631,3202,0.493311
00631,3243,0.506689
00636,54,1.0
00636,3265,1.0
00637,54,1.0
00637,3242,0.017831
00637,3263,0.94001
00637,3265,0.042158
00638,54,1.0
00638,3221,0.919038
00638,3248,0.006408
00638,3256,0.074553
00641,54,1.0
00641,3202,0.000353
00641,3273,0.999647
00646,54,1.0
00646,3227,0.973044
00646,3274,0.026956
00647,54,1.0
00647,3230,0.985226
00647,3242,0.014774
00650,54,1.0
00650,3208,0.023682
00650,3210,0.010549
00650,3221,0.028764
00650,3229,0.474868
00650,3248,0.042403
00650,3273,0.419733
00652,54,1.0
00652,3208,1.0
00653,54,1.0
00653,3230,0.976825
00653,3263,0.023175
00656,54,1.0
00656,3202,2.7e-05
00656,3232,0.972188
00656,3258,3.5e-05
00656,3279,0.027751
00659,54,1.0
00659,3235,1.0
00660,54,1.0
00660,3236,1.0
00662,54,1.0
00662,3238,1.0
00664,54,1.0
00664,3239,0.949339
00664,3273,0.050661
00667,54,1.0
00667,3242,0.983794
00667,3265,0.016206
00669,54,1.0
00669,3243,0.934039
00669,3244,0.027125
00669,3268,0.001015
00669,3273,0.037821
00670,54,1.0
00670,3207,0.035849
00670,3244,0.956671
00670,3249,0.00319
00670,3251,0.00429
00674,54,1.0
00674,3248,0.9948
00674,3275,0.0052
00676,54,1.0
