zipcode,cbsasub
00601,METRO38660M38660
00602,METRO10380M10380
00603,METRO10380M10380
00606,NCNTY72923N72923
00610,METRO10380M10380
00611,METRO10380M10380
00612,METRO11640M11640
00616,METRO11640M11640
00617,METRO41980MM7440
00622,METRO41900M41900
00623,METRO41900M41900
00624,METRO49500M49500
00627,METRO11640M11640
00631,METRO10380M10380
00636,METRO41900M41900
00637,METRO41900M41900
00638,METRO41980N72923
00641,METRO10380M10380
00646,METRO41980MM7440
00647,METRO49500M49500
00650,METRO41980MM7440
00652,METRO11640M11640
00653,METRO49500M49500
00656,METRO49500M49500
00659,METRO11640M11640
00660,METRO32420M32420
00662,METRO10380M10380
00664,NCNTY72923N72923
00667,METRO41900M41900
00669,METRO10380M10380
00670,METRO32420M32420
00674,METRO41980MM7440
00676,METRO10380M10380
00677,METRO10380M10380
00678,METRO11640M11640
00680,METRO32420M32420
00682,METRO32420M32420
00683,METRO41900M41900
00685,METRO10380M10380
00687,METRO41980MM7440
00688,METRO11640M11640
00690,METRO10380M10380
00692,METRO41980MM7440
00693,METRO41980MM7440
00694,METRO41980MM7440
00698,METRO49500M49500
00703,METRO41980MM7440
00704,NCNTY72923N72923
00705,METRO41980N72923
00707,METRO41980MM7440
00714,METRO25020M25020
00715,METRO38660M38660
00716,METRO38660M38660
00717,METRO38660M38660
00718,METRO41980MM7440
00719,METRO41980MM7440
00720,METRO41980N72923
00723,METRO25020M25020
00725,METRO41980MM1310
00727,METRO41980MM1310
00728,METRO38660M38660
00729,METRO41980MM7440
00730,METRO38660M38660
00731,METRO38660M38660
00735,METRO41980M21940
00736,METRO41980MM1310
00738,METRO41980M21940
00739,METRO41980MM1310
00740,METRO41980M21940
00741,METRO41980MM7440
00745,METRO41980MM7440
00751,NCNTY72923N72923
00754,METRO41980MM1310
00757,NCNTY72923N72923
00765,NCNTY72923N72923
00766,METRO38660M38660
00767,METRO41980MM7440
00769,NCNTY72923N72923
00771,METRO41980MM7440
00772,METRO41980MM7440
00773,METRO41980M21940
00775,NCNTY72923N72923
00777,METRO41980MM7440
00778,METRO41980MM1310
00780,METRO38660M38660
00782,METRO41980MM7440
00783,METRO41980MM7440
00784,METRO25020M25020
00786,METRO41980N72923
00791,METRO41980MM7440
00794,METRO41980N72923
00795,METRO38660M38660
00901,METRO41980MM7440
00906,METRO41980MM7440
00907,METRO41980MM7440
00909,METRO41980MM7440
00911,METRO41980MM7440
00912,METRO41980MM7440
00913,METRO41980MM7440
00915,METRO41980MM7440
00917,METRO41980MM7440
00918,METRO41980MM7440
00920,METRO41980MM7440
00921,METRO41980MM7440
00923,METRO41980MM7440
00924,METRO41980MM7440
00925,METRO41980MM7440
00926,METRO41980MM7440
00927,METRO41980MM7440
00934,METRO41980MM7440
00949,METRO41980MM7440
00950,METRO41980MM7440
00951,METRO41980MM7440
00952,METRO41980MM7440
00953,METRO41980MM7440
00956,METRO41980MM7440
00957,METRO41980MM7440
00959,METRO41980MM7440
00960,METRO41980MM7440
00961,METRO41980MM7440
00962,METRO41980MM7440
00965,METRO41980MM7440
00966,METRO41980MM7440
00968,METRO41980MM7440
00969,METRO41980MM7440
00971,METRO41980MM7440
00976,METRO41980MM7440
00979,METRO41980MM7440
00982,METRO41980MM7440
00983,METRO41980MM7440
00985,METRO41980MM7440
00987,METRO41980MM7440
01001,METRO44140M44140
01002,METRO44140M44140
01003,METRO44140M44140
01005,METRO49340M49340
01007,METRO44140M44140
01008,METRO44140M44140
01009,METRO44140M44140
01010,METRO44140M44140
01011,METRO44140M44140
01012,METRO44140M44140
01013,METRO44140M44140
01020,METRO44140M44140
01022,METRO44140M44140
01026,METRO44140M44140
01027,METRO44140M44140
01028,METRO44140M44140
01029,METRO38340N25003
01030,METRO44140M44140
01031,METRO49340N25027
01032,METRO44140M44140
01033,METRO44140M44140
01034,METRO44140M44140
01035,METRO44140M44140
01036,METRO44140M44140
01037,METRO49340N25027
01038,METRO44140M44140
01039,METRO44140M44140
01040,METRO44140M44140
01050,METRO44140M44140
01053,METRO44140M44140
01054,METRO44140M25011
01056,METRO44140M44140
01057,METRO44140M44140
01060,METRO44140M44140
01062,METRO44140M44140
01063,METRO44140M44140
01066,METRO44140M44140
01068,METRO49340M49340
01069,METRO44140M44140
01070,METRO44140M44140
01071,METRO44140M44140
01072,METRO44140M25011
01073,METRO44140M44140
01074,METRO49340M49340
01075,METRO44140M44140
01077,METRO44140M44140
01079,METRO44140M44140
01080,METRO44140M44140
01081,METRO44140M44140
01082,METRO44140M44140
01083,METRO49340N25027
01084,METRO44140M44140
01085,METRO44140M44140
01088,METRO44140M44140
01089,METRO44140M44140
01092,METRO49340N25027
01093,METRO44140M25011
01094,METRO49340N25027
01095,METRO44140M44140
01096,METRO44140M44140
01097,METRO44140M44140
01098,METRO44140M44140
01103,METRO44140M44140
01104,METRO44140M44140
01105,METRO44140M44140
01106,METRO44140M44140
01107,METRO44140M44140
01108,METRO44140M44140
01109,METRO44140M44140
01118,METRO44140M44140
01119,METRO44140M44140
01128,METRO44140M44140
01129,METRO44140M44140
01144,METRO44140M44140
01151,METRO44140M44140
01201,METRO38340M38340
01220,METRO38340M38340
01222,METRO38340N25003
01223,METRO38340N25003
01224,METRO38340M38340
01225,METRO38340M38340
01226,METRO38340M38340
01229,METRO38340M38340
01230,METRO38340N25003
01235,METRO38340N25003
01236,METRO38340N25003
01237,METRO38340M38340
01238,METRO38340M38340
01240,METRO38340M38340
01242,METRO38340M38340
01243,METRO44140M44140
01244,METRO38340N25003
01245,METRO38340N25003
01247,METRO38340N25003
01253,METRO38340N25003
01254,METRO38340M38340
01255,METRO38340N25003
01256,METRO38340N25003
01257,METRO38340N25003
01258,METRO38340N25003
01259,METRO38340N25003
01260,METRO38340M38340
01262,METRO38340M38340
01264,METRO38340N25003
01266,METRO38340N25003
01267,METRO38340N25003
01270,METRO38340N25003
01301,METRO44140M25011
01330,METRO44140M25011
01331,METRO49340N25027
01337,METRO44140M25011
01338,METRO44140M25011
01339,METRO44140M25011
01340,METRO44140M25011
01341,METRO44140M25011
01342,METRO44140M25011
01343,METRO38340N25003
01344,METRO44140M25011
01346,METRO44140M25011
01347,METRO44140M25011
01349,METRO44140M25011
01350,METRO44140M25011
01351,METRO44140M25011
01354,METRO44140M25011
01355,METRO44140M25011
01360,METRO44140M25011
01364,METRO44140M25011
01366,METRO49340N25027
01367,METRO44140M25011
01368,METRO49340N25027
01370,METRO44140M25011
01373,METRO44140M25011
01375,METRO44140M25011
01376,METRO44140M25011
01378,METRO44140M25011
01379,METRO44140M25011
01380,METRO44140M25011
01420,METRO49340MM2600
01430,METRO49340MM2600
01431,METRO14460MM1120
01432,METRO14460MM1120
01434,METRO49340MM1120
01436,METRO49340MM2600
01438,METRO49340MM2600
01440,METRO49340MM2600
01450,METRO14460MM4560
01451,METRO49340MM1120
01452,METRO49340N25027
01453,METRO49340MM2600
01460,METRO14460MM1120
01462,METRO49340MM2600
01463,METRO14460MM4560
01464,METRO14460MM1120
01468,METRO49340MM2600
01469,METRO14460MM1120
01473,METRO49340MM2600
01474,METRO14460MM1120
01475,METRO49340MM2600
01501,METRO49340M49340
01503,METRO49340MM1120
01504,METRO49340MM1120
01505,METRO49340M49340
01506,METRO49340M49340
01507,METRO49340M49340
01510,METRO49340M49340
01515,METRO49340M49340
01516,METRO49340M49340
01518,METRO49340M49340
01519,METRO49340M49340
01520,METRO49340M49340
01521,METRO44140M44140
01522,METRO49340M49340
01523,METRO49340MM1120
01524,METRO49340M49340
01525,METRO49340M49340
01527,METRO49340M49340
01529,METRO49340MM1120
01531,METRO49340N25027
01532,METRO49340M49340
01534,METRO49340M49340
01535,METRO49340M49340
01536,METRO49340M49340
01537,METRO49340M49340
01540,METRO49340M49340
01541,METRO49340M49340
01542,METRO49340M49340
01543,METRO49340M49340
01545,METRO49340M49340
01550,METRO49340M49340
01560,METRO49340M49340
01561,METRO49340MM1120
01562,METRO49340M49340
01564,METRO49340M49340
01566,METRO49340M49340
01568,METRO49340MM1120
01569,METRO49340M49340
01570,METRO49340M49340
01571,METRO49340M49340
01581,METRO49340M49340
01583,METRO49340M49340
01585,METRO49340M49340
01588,METRO49340M49340
01590,METRO49340M49340
01602,METRO49340M49340
01603,METRO49340M49340
01604,METRO49340M49340
01605,METRO49340M49340
01606,METRO49340M49340
01607,METRO49340M49340
01608,METRO49340M49340
01609,METRO49340M49340
01610,METRO49340M49340
01611,METRO49340M49340
01612,METRO49340M49340
01701,METRO14460MM1120
01702,METRO14460MM1120
01718,METRO14460MM1120
01719,METRO14460MM1120
01720,METRO14460MM1120
01721,METRO14460MM1120
01730,METRO14460MM1120
01731,METRO14460MM1120
01740,METRO49340MM1120
01741,METRO14460MM1120
01742,METRO14460MM1120
01745,METRO49340MM1120
01746,METRO14460MM1120
01747,METRO49340MM1120
01748,METRO14460MM1120
01749,METRO14460MM1120
01752,METRO14460MM1120
01754,METRO14460MM1120
01756,METRO49340MM1120
01757,METRO49340MM1120
01760,METRO14460MM1120
01770,METRO14460MM1120
01772,METRO49340MM1120
01773,METRO14460MM1120
01775,METRO14460MM1120
01776,METRO14460MM1120
01778,METRO14460MM1120
01801,METRO14460MM1120
01803,METRO14460MM1120
01810,METRO14460MM4160
01821,METRO14460MM4560
01824,METRO14460MM4560
01826,METRO14460MM4560
01827,METRO14460MM4560
01830,METRO14460MM4160
01832,METRO14460MM4160
01833,METRO14460MM4160
01834,METRO14460MM4160
01835,METRO14460MM4160
01840,METRO14460MM4160
01841,METRO14460MM4160
01843,METRO14460MM4160
01844,METRO14460MM4160
01845,METRO14460MM4160
01850,METRO14460MM4560
01851,METRO14460MM4560
01852,METRO14460MM4560
01854,METRO14460MM4560
01860,METRO14460MM4160
01862,METRO14460MM4560
01863,METRO14460MM4560
01864,METRO14460MM1120
01867,METRO14460MM1120
01876,METRO14460MM4560
01879,METRO14460MM4560
01880,METRO14460MM1120
01886,METRO14460MM4560
01887,METRO14460MM1120
01890,METRO14460MM1120
01901,METRO14460MM1120
01902,METRO14460MM1120
01904,METRO14460MM1120
01905,METRO14460MM1120
01906,METRO14460MM1120
01907,METRO14460MM1120
01908,METRO14460MM1120
01913,METRO14460MM1120
01915,METRO14460MM1120
01921,METRO14460MM4160
01922,METRO14460MM1120
01923,METRO14460MM1120
01929,METRO14460MM1120
01930,METRO14460MM1120
01937,METRO14460MM1120
01938,METRO14460MM1120
01940,METRO14460MM1120
01944,METRO14460MM1120
01945,METRO14460MM1120
01949,METRO14460MM1120
01950,METRO14460MM1120
01951,METRO14460MM1120
01952,METRO14460MM1120
01960,METRO14460MM1120
01965,METRO14460MM1120
01966,METRO14460MM1120
01969,METRO14460MM1120
01970,METRO14460MM1120
01982,METRO14460MM1120
01983,METRO14460MM1120
01984,METRO14460MM1120
01985,METRO14460MM4160
02019,METRO14460MM1120
02021,METRO14460MM1120
02025,METRO14460MM1120
02026,METRO14460MM1120
02030,METRO14460MM1120
02032,METRO14460MM1120
02035,METRO14460MM1120
02038,METRO14460MM1120
02043,METRO14460MM1120
02045,METRO14460MM1120
02047,METRO14460MM1120
02048,METRO39300MM1120
02050,METRO14460MM1120
02052,METRO14460MM1120
02053,METRO14460MM1120
02054,METRO14460MM1120
02056,METRO14460MM1120
02061,METRO14460MM1120
02062,METRO14460MM1120
02066,METRO14460MM1120
02067,METRO14460MM1120
02071,METRO14460MM1120
02072,METRO14460MM1120
02081,METRO14460MM1120
02090,METRO14460MM1120
02093,METRO14460MM1120
02108,METRO14460MM1120
02109,METRO14460MM1120
02110,METRO14460MM1120
02111,METRO14460MM1120
02113,METRO14460MM1120
02114,METRO14460MM1120
02115,METRO14460MM1120
02116,METRO14460MM1120
02118,METRO14460MM1120
02119,METRO14460MM1120
02120,METRO14460MM1120
02121,METRO14460MM1120
02122,METRO14460MM1120
02124,METRO14460MM1120
02125,METRO14460MM1120
02126,METRO14460MM1120
02127,METRO14460MM1120
02128,METRO14460MM1120
02129,METRO14460MM1120
02130,METRO14460MM1120
02131,METRO14460MM1120
02132,METRO14460MM1120
