zip,geography_id,predominant
00002,3354,1
00006,3370,1
00007,3354,1
00010,3354,1
00011,3360,1
00011,3372,0
00012,3530,1
00015,3505,0
00015,3506,0
00016,3548,1
00017,3536,1
00017,3548,0
00018,3548,1
00019,3530,1
00019,3549,0
00020,3536,1
00022,3536,1
00026,3536,1
00026,3548,0
00028,3536,1
00028,3539,0
00029,3536,1
00031,3536,1
00032,3536,1
00032,3548,0
00033,3531,1
00033,3545,0
00034,3537,1
00035,3537,1
00037,3536,1
00038,3536,1
00039,3551,1
00040,3536,1
00040,3548,0
00041,3633,1
00042,3633,1
00042,3648,0
00043,3633,1
00044,3531,1
00044,3536,0
00045,3649,1
00047,3536,1
00048,3536,1
00049,3537,1
00050,3536,1
00051,3531,1
00051,3536,0
00052,3536,1
00053,3633,1
00054,3536,1
00055,3551,1
00056,3829,1
00058,3536,1
00063,4367,1
00064,4560,1
00064,5303,0
00065,3536,1
00066,4562,1
00066,4573,0
00067,4682,1
00067,4700,0
00067,4716,0
00071,4921,0
00071,5057,1
00072,5147,1
00073,5106,1
00073,5132,0
00074,5106,1
00074,5129,0
00076,5127,1
00076,5141,0
00084,4401,1
00084,4410,0
00087,3633,1
00087,3648,0
00097,3633,1
00098,3633,1
00100,4921,1
00116,4086,1
00119,4087,1
00119,4095,0
00120,4095,1
00121,4087,1
00127,4121,1
00130,4128,1
00134,4121,1
00134,4128,0
00135,4128,1
00137,4121,0
00137,4128,1
00138,4121,1
00141,4121,1
00151,4121,1
00152,4113,1
00152,4114,0
00158,4102,1
00168,4545,1
00172,4547,1
00173,4545,1
00174,4545,1
00176,4545,1
00177,4545,1
00179,4545,1
00180,4545,1
00181,4545,1
00182,4545,1
00183,4545,1
00184,4545,1
00185,4545,1
00188,4939,1
00188,5004,0
00195,5145,1
00197,3504,0
00198,3360,1
00198,3384,0
00199,3502,0
00501,4608,1
00544,4608,1
01001,4102,1
01001,5523,0
01002,4104,0
01002,4151,0
01002,5518,0
01002,5523,0
01002,5604,1
01003,4102,1
01003,5523,0
01003,5604,0
01004,4102,1
01005,4104,1
01007,4104,1
01007,5523,0
01008,4102,1
01008,5288,0
01009,4104,1
01009,5523,0
01010,4104,1
01010,5523,0
01011,4102,1
01011,5288,0
01012,4104,1
01013,4142,1
01013,4145,0
01013,5522,0
01013,5523,0
01014,4142,1
01020,4142,1
01020,4145,0
01020,4151,0
01020,5522,0
01020,5523,0
01021,4142,1
01022,4142,1
01022,4151,0
01022,5523,0
01026,4104,1
01027,4104,0
01027,4145,1
01027,5518,0
01027,5522,0
01027,5523,0
01028,4104,1
01028,5523,0
01029,4102,1
01030,4155,1
01030,5520,0
01030,5523,0
01031,4104,1
01032,4104,1
01033,4104,0
01033,4142,1
01033,4151,0
01033,5523,0
01034,4102,1
01034,5520,0
01034,5523,0
01035,4104,1
01035,4151,0
01035,5518,0
01035,5523,0
01036,4104,1
01036,5523,0
01037,4104,1
01038,4104,1
01038,5518,0
01038,5523,0
01039,4104,1
01039,5518,0
01039,5523,0
01040,4142,1
01040,4145,0
01040,4151,0
01040,4155,0
01040,5518,0
01040,5522,0
01040,5523,0
01041,4145,1
01050,4102,1
01050,5288,0
01050,5300,0
01050,5522,0
01053,4104,1
01053,5523,0
01054,4104,1
01056,4104,0
01056,4142,1
01056,5523,0
01057,4104,1
01057,5523,0
01059,4102,1
01059,5604,0
01060,4104,1
01060,5518,0
01060,5523,0
01061,4104,1
01062,4104,0
01062,4145,1
01062,4151,0
01062,5523,0
01063,4104,1
01063,5523,0
01066,4102,1
01066,5518,0
01066,5523,0
01068,4104,1
01069,4104,1
01069,5523,0
01070,4104,1
01071,4155,1
01071,5300,0
01071,5520,0
01072,4104,1
01073,4145,1
01073,4155,0
01073,5522,0
01073,5523,0
01074,4104,1
01075,4104,0
01075,4142,1
01075,4145,0
01075,4151,0
01075,5518,0
01075,5522,0
01075,5523,0
01077,4155,1
01077,5520,0
01077,5523,0
01079,4104,1
01079,5523,0
01080,4104,1
01080,5523,0
01081,4104,1
01081,5523,0
01082,4104,1
01082,5523,0
01083,4104,1
01084,4102,1
01085,4145,0
01085,4155,1
01085,5300,0
01085,5520,0
01085,5522,0
01085,5523,0
01086,4155,1
01088,4104,1
01088,5518,0
01088,5523,0
01089,4142,1
01089,4145,0
01089,4155,0
01089,5520,0
01089,5522,0
01089,5523,0
01090,4102,1
01092,4104,1
01092,5523,0
01093,4102,1
01093,5518,0
01094,4104,1
01095,4104,1
01095,5523,0
01096,4104,1
01096,5523,0
01097,4102,1
01097,5300,0
01098,4102,1
01098,5288,0
01101,4102,1
01102,4102,1
01103,4102,1
01103,5523,0
01104,4142,1
01104,5523,0
01105,4102,1
01105,5523,0
01106,4104,1
01106,5523,0
01107,4142,1
01107,5523,0
01108,4104,1
01108,5523,0
01109,4102,1
01109,5523,0
01111,4102,1
01115,4102,1
01116,4104,1
01118,4104,1
01118,5523,0
01119,4102,1
01119,5523,0
01128,4104,1
01128,5523,0
01129,4104,1
01129,5523,0
01138,4102,1
01139,4102,1
01144,4102,1
01144,5523,0
01151,4104,0
01151,4142,1
01151,5523,0
01152,4102,1
01199,4102,1
01201,5518,0
01202,4102,1
01203,4102,1
01220,4104,1
01220,5518,0
01222,4104,1
01223,4102,1
01223,5518,0
01224,4102,1
01224,5518,0
01225,4104,1
01225,5518,0
01226,4102,1
01226,5518,0
01227,4102,1
01229,4104,1
01229,5518,0
01230,4104,1
01230,5518,0
01235,4102,1
01235,5518,0
01236,4104,1
01236,5518,0
01237,4104,1
01237,5518,0
01238,4104,1
01238,5518,0
01240,4104,1
01240,5518,0
01242,4102,1
01242,5518,0
01243,4102,1
01244,4104,1
01245,4104,1
01247,4104,1
01247,5518,0
01252,4104,1
01253,4102,1
01254,4104,1
01254,5518,0
01255,4104,1
01256,4104,1
01256,5518,0
01257,4104,1
01258,4104,1
01259,4104,1
01260,4102,1
01260,5518,0
01262,4104,1
01262,5518,0
01263,4104,1
01264,4102,1
01264,5518,0
01266,4104,1
01266,5518,0
01267,4104,1
01267,5518,0
01270,4102,1
01270,5518,0
