zip,utility_id,predominant
00002,ak-alaska-village-electric-cooperative,1
00006,ak-golden-valley-electric-association,1
00007,ak-alaska-village-electric-cooperative,1
00010,ak-alaska-village-electric-cooperative,1
00011,ak-chugach-electric-association,1
00011,ak-homer-electric-association,0
00012,ca-lassen-municipal-utility-district,1
00015,az-trico-electric-cooperative,0
00015,az-tucson-electric-power,0
00016,ca-southern-california-edison,1
00017,ca-pacific-gas-and-electric,1
00017,ca-southern-california-edison,0
00018,ca-southern-california-edison,1
00019,ca-lassen-municipal-utility-district,1
00019,ca-surprise-valley-electric-corp,0
00020,ca-pacific-gas-and-electric,1
00022,ca-pacific-gas-and-electric,1
00026,ca-pacific-gas-and-electric,1
00026,ca-southern-california-edison,0
00027,co-black-hills-energy,1
00027,co-core-electric-cooperative,0
00027,co-mountain-view-electric-association,0
00028,ca-pacific-gas-and-electric,1
00028,ca-plumas-sierra-rural-electric-cooperative,0
00029,ca-pacific-gas-and-electric,1
00031,ca-pacific-gas-and-electric,1
00032,ca-pacific-gas-and-electric,1
00032,ca-southern-california-edison,0
00033,ca-liberty-utilities,1
00033,ca-sierra-pacific-power,0
00034,ca-pacific-power,1
00035,ca-pacific-power,1
00037,ca-pacific-gas-and-electric,1
00038,ca-pacific-gas-and-electric,1
00039,ca-trinity-public-utilities-district,1
00040,ca-pacific-gas-and-electric,1
00040,ca-southern-california-edison,0
00041,fl-florida-power-and-light,1
00042,fl-florida-power-and-light,1
00042,fl-peace-river-electric-cooperative,0
00043,fl-florida-power-and-light,1
00044,ca-liberty-utilities,1
00044,ca-pacific-gas-and-electric,0
00045,fl-sumter-electric-cooperative,1
00047,ca-pacific-gas-and-electric,1
00048,ca-pacific-gas-and-electric,1
00049,ca-pacific-power,1
00050,ca-pacific-gas-and-electric,1
00051,ca-liberty-utilities,1
00051,ca-pacific-gas-and-electric,0
00052,ca-pacific-gas-and-electric,1
00053,fl-florida-power-and-light,1
00054,ca-pacific-gas-and-electric,1
00055,ca-trinity-public-utilities-district,1
00056,id-idaho-power,1
00058,ca-pacific-gas-and-electric,1
00059,mn-lake-country-power,1
00059,mn-north-star-electric-cooperative,0
00060,mn-allete,1
00060,mn-lake-country-power,0
00063,mt-sun-river-electric-cooperative,1
00064,nm-continental-divide-electric-cooperative,1
00064,nm-public-service-co-of-new-mexico,0
00065,ca-pacific-gas-and-electric,1
00066,nm-el-paso-electric,1
00066,nm-otero-county-electric-cooperative,0
00067,ok-caddo-electric-cooperative,1
00067,ok-cotton-electric-cooperative,0
00067,ok-public-service-co-of-oklahoma,0
00068,or-central-lincoln,1
00068,or-consumers-power,0
00069,or-eugene-water-and-electric-board,1
00069,or-lane-electric-cooperative,0
00070,or-portland-general-electric,1
00070,or-wasco-electric-cooperative,0
00071,ut-moon-lake-electric-association,1
00071,ut-rocky-mountain-power,0
00072,wa-puget-sound-energy,1
00073,wa-benton-rural-electric-association,1
00073,wa-pud-no-1-of-benton-county,0
00074,wa-benton-rural-electric-association,1
00074,wa-pacific-power,0
00076,wa-okanogan-county-electric-cooperative,1
00076,wa-pud-no-1-of-okanogan-county,0
00077,or-consumers-power,1
00077,or-pacific-power,0
00084,nc-duke-energy-progress,1
00084,nc-jones-onslow-electric-membership-corp,0
00087,fl-florida-power-and-light,1
00087,fl-peace-river-electric-cooperative,0
00097,fl-florida-power-and-light,1
00098,fl-florida-power-and-light,1
00100,ut-rocky-mountain-power,1
00116,la-entergy-gulf-states-louisiana-llc,1
00119,la-entergy-louisiana,1
00119,la-south-louisiana-electric-cooperative-association,0
00120,la-south-louisiana-electric-cooperative-association,1
00121,la-entergy-louisiana,1
00127,me-eastern-maine-electric-cooperative,1
00130,me-bhe-holdings,1
00130,me-emera-maine,0
00134,me-eastern-maine-electric-cooperative,1
00134,me-emera-maine,0
00135,me-emera-maine,1
00137,me-bhe-holdings,1
00137,me-eastern-maine-electric-cooperative,0
00138,me-eastern-maine-electric-cooperative,1
00139,me-central-maine-power,1
00141,me-eastern-maine-electric-cooperative,1
00151,me-eastern-maine-electric-cooperative,1
00152,md-choptank-electric-cooperative,1
00152,md-delmarva-power-and-light,0
00158,ma-eversource,1
00160,mn-arrowhead-electric-cooperative,1
