tract_geoid,state,is_nonurban,is_low_income_community,is_eligible
01001020100,AL,1,0,1
01001020200,AL,0,1,1
01001020300,AL,0,0,0
01001020400,AL,0,0,0
01001020501,AL,0,0,0
01001020502,AL,0,0,0
01001020503,AL,0,0,0
01001020600,AL,0,1,1
01001020700,AL,1,1,1
01001020801,AL,1,0,1
01001020803,AL,1,1,1
01001020804,AL,1,0,1
01001020805,AL,1,0,1
01001020901,AL,1,0,1
01001020902,AL,1,0,1
01001021000,AL,1,1,1
01001021100,AL,1,1,1
01003010100,AL,1,1,1
01003010200,AL,1,1,1
01003010300,AL,1,0,1
01003010400,AL,1,1,1
01003010500,AL,0,0,0
01003010600,AL,1,1,1
01003010704,AL,0,0,0
01003010706,AL,0,0,0
01003010707,AL,1,0,1
01003010708,AL,1,0,1
01003010709,AL,1,0,1
01003010710,AL,1,0,1
01003010711,AL,0,0,0
01003010800,AL,0,0,0
01003010903,AL,1,0,1
01003010904,AL,1,0,1
01003010906,AL,1,1,1
01003010907,AL,1,0,1
01003010908,AL,1,0,1
01003011000,AL,1,1,1
01003011102,AL,1,0,1
01003011103,AL,1,0,1
01003011104,AL,0,0,0
01003011201,AL,0,0,0
01003011202,AL,0,0,0
01003011300,AL,1,0,1
01003011409,AL,1,0,1
01003011410,AL,1,0,1
01003011411,AL,1,0,1
01003011412,AL,1,1,1
01003011413,AL,1,0,1
01003011414,AL,1,0,1
01003011415,AL,0,0,0
01003011416,AL,0,0,0
01003011417,AL,1,0,1
01003011418,AL,1,0,1
01003011419,AL,1,0,1
01003011501,AL,1,0,1
01003011503,AL,0,1,1
01003011504,AL,1,0,1
01003011601,AL,1,0,1
01003011603,AL,1,1,1
01003011604,AL,1,0,1
01003990000,AL,1,0,1
01005950100,AL,1,0,1
01005950200,AL,1,1,1
01005950300,AL,1,1,1
01005950400,AL,1,1,1
01005950500,AL,1,0,1
01005950600,AL,1,1,1
01005950700,AL,1,1,1
01005950800,AL,1,1,1
01005950900,AL,1,1,1
01007010001,AL,1,1,1
01007010005,AL,1,0,1
01007010006,AL,1,0,1
01007010007,AL,1,1,1
01007010008,AL,1,0,1
01007010009,AL,1,1,1
01007010010,AL,1,1,1
01007010011,AL,1,1,1
01009050103,AL,1,1,1
01009050104,AL,1,0,1
01009050105,AL,1,0,1
01009050106,AL,1,1,1
01009050107,AL,1,1,1
01009050200,AL,1,1,1
01009050301,AL,1,1,1
01009050302,AL,1,1,1
01009050400,AL,1,0,1
01009050501,AL,1,1,1
01009050502,AL,1,0,1
01009050601,AL,1,0,1
01009050603,AL,1,0,1
01009050604,AL,1,0,1
01009050701,AL,1,1,1
01009050702,AL,1,1,1
01011952100,AL,1,1,1
01011952201,AL,1,1,1
01011952202,AL,1,1,1
01011952500,AL,1,0,1
01013952700,AL,1,1,1
01013952800,AL,0,0,0
01013952900,AL,1,1,1
01013953000,AL,1,1,1
01013953100,AL,1,1,1
01013953200,AL,1,0,1
01013953300,AL,1,0,1
01013953400,AL,1,1,1
01013953500,AL,1,0,1
01015000200,AL,0,1,1
01015000300,AL,0,1,1
01015000400,AL,0,1,1
01015000500,AL,0,1,1
01015000600,AL,0,1,1
01015000700,AL,1,1,1
01015000800,AL,0,1,1
01015000900,AL,0,0,0
01015001000,AL,0,0,0
01015001101,AL,1,0,1
01015001102,AL,0,1,1
01015001103,AL,0,0,0
01015001201,AL,0,1,1
01015001202,AL,1,0,1
01015001300,AL,0,1,1
01015001400,AL,1,0,1
01015001501,AL,1,0,1
01015001502,AL,1,1,1
01015001600,AL,1,1,1
01015001700,AL,0,0,0
01015001801,AL,1,0,1
01015001802,AL,1,0,1
01015002001,AL,1,0,1
01015002002,AL,1,0,1
01015002101,AL,1,1,1
01015002102,AL,0,0,0
01015002104,AL,1,1,1
01015002105,AL,1,1,1
01015002200,AL,1,0,1
01015002300,AL,1,1,1
01015002400,AL,1,0,1
01015002502,AL,1,0,1
01015002503,AL,1,0,1
01015002504,AL,1,0,1
01015002600,AL,1,0,1
01015981901,AL,1,0,1
01015981902,AL,1,0,1
01015981903,AL,1,0,1
01017953800,AL,1,1,1
01017953900,AL,1,1,1
01017954001,AL,1,1,1
01017954002,AL,1,1,1
01017954200,AL,1,0,1
01017954300,AL,1,0,1
01017954600,AL,0,1,1
01017954700,AL,1,0,1
01017954800,AL,0,1,1
01019955701,AL,1,1,1
01019955702,AL,1,1,1
01019955801,AL,1,0,1
01019955802,AL,1,0,1
01019955900,AL,1,0,1
01019956000,AL,1,0,1
01019956101,AL,1,0,1
01019956102,AL,1,0,1
01021060101,AL,1,1,1
01021060103,AL,1,0,1
01021060104,AL,0,0,0
01021060200,AL,1,0,1
01021060300,AL,1,0,1
01021060401,AL,1,1,1
01021060403,AL,1,1,1
01021060404,AL,1,1,1
01021060500,AL,1,1,1
01021060600,AL,1,0,1
01021060701,AL,1,1,1
01021060702,AL,1,1,1
01023956700,AL,1,1,1
01023956800,AL,1,0,1
01023956900,AL,1,1,1
01023957000,AL,1,1,1
01025957500,AL,1,1,1
01025957601,AL,1,0,1
01025957603,AL,1,0,1
01025957604,AL,1,0,1
01025957700,AL,1,1,1
01025957800,AL,1,1,1
01025957901,AL,1,1,1
01025957902,AL,1,1,1
01025958003,AL,1,1,1
01027958900,AL,1,0,1
01027959000,AL,1,1,1
01027959100,AL,1,0,1
01027959200,AL,1,1,1
01029959500,AL,1,0,1
01029959600,AL,1,1,1
01029959700,AL,1,0,1
01029959800,AL,1,0,1
01031010100,AL,1,1,1
01031010200,AL,1,0,1
01031010300,AL,1,0,1
01031010400,AL,1,0,1
01031010500,AL,1,1,1
01031010600,AL,1,0,1
01031010700,AL,1,0,1
01031010800,AL,1,0,1
01031010900,AL,1,1,1
01031011000,AL,1,1,1
01031011100,AL,0,1,1
01031011203,AL,0,0,0
01031011204,AL,1,0,1
01031011205,AL,0,0,0
01031011206,AL,0,0,0
01031011300,AL,0,1,1
01033020100,AL,0,1,1
01033020200,AL,0,1,1
01033020300,AL,0,1,1
01033020400,AL,1,0,1
01033020500,AL,1,1,1
01033020600,AL,0,1,1
01033020703,AL,0,0,0
01033020704,AL,0,0,0
01033020705,AL,1,1,1
01033020706,AL,1,0,1
01033020801,AL,1,0,1
01033020802,AL,1,0,1
01033020901,AL,1,0,1
01033020902,AL,1,0,1
01033021000,AL,1,1,1
01035960200,AL,1,1,1
01035960300,AL,1,1,1
01035960400,AL,1,1,1
01035960500,AL,1,1,1
01035960600,AL,1,1,1
01037961000,AL,1,1,1
01037961100,AL,1,0,1
01037961200,AL,1,0,1
01039961600,AL,1,0,1
01039961700,AL,1,1,1
01039961800,AL,1,1,1
01039961900,AL,1,0,1
01039962000,AL,1,1,1
01039962100,AL,1,1,1
01039962300,AL,1,1,1
01039962400,AL,1,0,1
01039962500,AL,1,1,1
01039962600,AL,1,1,1
01039962700,AL,1,1,1
01039962800,AL,1,1,1
01039962900,AL,1,0,1
01039963000,AL,1,1,1
01041963400,AL,1,0,1
01041963500,AL,1,1,1
01041963600,AL,1,1,1
01041963700,AL,1,0,1
01041963800,AL,1,0,1
01041963900,AL,1,0,1
01043964100,AL,1,1,1
01043964201,AL,1,0,1
01043964202,AL,1,0,1
01043964300,AL,1,0,1
01043964400,AL,1,0,1
01043964500,AL,1,0,1
01043964600,AL,1,0,1
01043964700,AL,1,0,1
01043964800,AL,0,1,1
01043964901,AL,1,0,1
01043964902,AL,1,0,1
01043965001,AL,1,0,1
01043965002,AL,0,0,0
01043965100,AL,1,0,1
01043965200,AL,1,0,1
