zcta,is_eligible
00601,1
00602,1
00603,1
00606,1
00610,1
00611,1
00612,1
00616,1
00617,1
00622,1
00623,1
00624,1
00627,1
00631,1
00636,1
00637,1
00638,1
00641,1
00646,0
00647,1
00650,1
00652,1
00653,1
00656,1
00659,1
00660,1
00662,1
00664,1
00667,1
00669,1
00670,1
00674,1
00676,1
00677,1
00678,1
00680,1
00682,1
00683,1
00685,1
00687,1
00688,1
00690,1
00692,1
00693,1
00694,1
00698,1
00703,1
00704,1
00705,1
00707,1
00714,1
00715,1
00716,1
00717,1
00718,1
00719,1
00720,1
00723,1
00725,0
00727,0
00728,1
00729,0
00730,1
00731,1
00735,1
00736,1
00738,1
00739,1
00740,1
00741,1
00745,0
00751,1
00754,1
00757,1
00765,1
00766,1
00767,1
00769,1
00771,1
00772,1
00773,1
00775,1
00777,1
00778,0
00780,1
00782,1
00783,1
00784,1
00786,1
00791,1
00794,1
00795,1
00901,1
00906,1
00907,0
00909,0
00911,0
00912,0
00913,0
00915,1
00917,1
00918,0
00920,0
00921,0
00923,1
00924,0
00925,1
00926,0
00927,0
00934,1
00949,0
00950,1
00951,1
00952,0
00953,0
00956,0
00957,0
00959,0
00960,1
00961,0
00962,0
00965,1
00966,0
00968,0
00969,0
00971,0
00976,0
00979,0
00982,0
00983,1
00985,1
00987,0
01001,0
01002,1
01003,1
01005,1
01007,1
01008,1
01009,1
01010,1
01011,1
01012,1
01013,1
01020,0
01022,1
01026,1
01027,1
01028,0
01029,1
01030,0
01031,1
01032,1
01033,1
01034,1
01035,1
01036,1
01037,1
01038,1
01039,1
01040,1
01050,1
01053,1
01054,1
01056,1
01057,1
01060,0
01062,0
01063,0
01066,1
01068,1
01069,1
01070,1
01071,1
01072,1
01073,1
01074,1
01075,0
01077,1
01079,1
01080,1
01081,1
01082,1
01083,1
01084,1
01085,0
01088,1
01089,0
01092,1
01093,1
01094,1
01095,0
01096,1
01097,1
01098,1
01103,1
01104,1
01105,1
01106,0
01107,1
01108,0
01109,1
01118,0
01119,1
01128,0
01129,0
01151,1
01201,0
01220,1
01222,1
01223,1
01224,1
01225,1
01226,1
01229,1
01230,1
01235,1
01236,1
01237,1
01238,1
01240,1
01242,1
01243,1
01244,1
01245,1
01247,1
01253,1
01254,1
01255,1
01256,1
01257,1
01258,1
01259,1
01260,1
01262,1
01264,1
01266,1
01267,1
01270,1
01301,0
01330,1
01331,1
01337,1
01338,1
01339,1
01340,1
01341,1
01342,1
01343,1
01344,1
01346,1
01347,1
01349,1
01350,1
01351,1
01354,1
01355,1
01360,1
01364,1
01366,1
01367,1
01368,1
01370,1
01373,1
01375,1
01376,1
01378,1
01379,1
01380,1
01420,1
01430,1
01431,1
01432,0
01434,0
01436,1
01438,1
01440,1
01450,1
