countysub_geoid,county_geoid,state,county_name,counties_msa,town_name,metro_status,metro_name,area_name,year,median_family_income,ami_30,ami_50,ami_60,ami_80,ami_100,ami_150
4805999999,48059,TX,"Callahan County, TX",,,1,"Abilene, TX","Abilene, TX MSA",2024,85600.0,31200.0,40250.0,48300.0,64400.0,104200,130950
4825399999,48253,TX,"Jones County, TX",,,1,"Abilene, TX","Abilene, TX MSA",2024,85600.0,31200.0,40250.0,48300.0,64400.0,104200,130950
4844199999,48441,TX,"Taylor County, TX",,,1,"Abilene, TX","Abilene, TX MSA",2024,85600.0,31200.0,40250.0,48300.0,64400.0,104200,130950
7200399999,72003,PR,"Aguada Municipio, PR",,,1,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR MSA",2024,26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
7200599999,72005,PR,"Aguadilla Municipio, PR",,,1,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR MSA",2024,26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
7201199999,72011,PR,"Añasco Municipio, PR",,,1,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR MSA",2024,26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
7207199999,72071,PR,"Isabela Municipio, PR",,,1,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR MSA",2024,26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
7209999999,72099,PR,"Moca Municipio, PR",,,1,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR MSA",2024,26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
7211799999,72117,PR,"Rincón Municipio, PR",,,1,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR MSA",2024,26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
7213199999,72131,PR,"San Sebastián Municipio, PR",,,1,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR MSA",2024,26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
3913399999,39133,OH,"Portage County, OH",,,1,"Akron, OH","Akron, OH MSA",2024,95800.0,31200.0,47700.0,57240.0,76300.0,104200,150450
3915399999,39153,OH,"Summit County, OH",,,1,"Akron, OH","Akron, OH MSA",2024,95800.0,31200.0,47700.0,57240.0,76300.0,104200,150450
1309599999,13095,GA,"Dougherty County, GA",,,1,"Albany, GA","Albany, GA MSA",2024,64500.0,31200.0,35250.0,42300.0,56400.0,104200,114300
1317799999,13177,GA,"Lee County, GA",,,1,"Albany, GA","Albany, GA MSA",2024,64500.0,31200.0,35250.0,42300.0,56400.0,104200,114300
1327399999,13273,GA,"Terrell County, GA",,,1,"Albany, GA","Albany, GA MSA",2024,64500.0,31200.0,35250.0,42300.0,56400.0,104200,114300
1332199999,13321,GA,"Worth County, GA",,,1,"Albany, GA","Albany, GA MSA",2024,64500.0,31200.0,35250.0,42300.0,56400.0,104200,114300
4104399999,41043,OR,"Linn County, OR",,,1,"Albany-Lebanon, OR","Albany, OR MSA",2024,84900.0,31200.0,42450.0,50940.0,67900.0,104200,139050
3600199999,36001,NY,"Albany County, NY",,,1,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY MSA",2024,117800.0,35350.0,58900.0,70680.0,94250.0,116100,174150
3608399999,36083,NY,"Rensselaer County, NY",,,1,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY MSA",2024,117800.0,35350.0,58900.0,70680.0,94250.0,116100,174150
3609199999,36091,NY,"Saratoga County, NY",,,1,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY MSA",2024,117800.0,35350.0,58900.0,70680.0,94250.0,116100,174150
3609399999,36093,NY,"Schenectady County, NY",,,1,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY MSA",2024,117800.0,35350.0,58900.0,70680.0,94250.0,116100,174150
3609599999,36095,NY,"Schoharie County, NY",,,1,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY MSA",2024,117800.0,35350.0,58900.0,70680.0,94250.0,116100,174150
3500199999,35001,NM,"Bernalillo County, NM",,,1,"Albuquerque, NM","Albuquerque, NM MSA",2024,86400.0,31200.0,43200.0,51840.0,69100.0,104200,137100
3504399999,35043,NM,"Sandoval County, NM",,,1,"Albuquerque, NM","Albuquerque, NM MSA",2024,86400.0,31200.0,43200.0,51840.0,69100.0,104200,137100
3505799999,35057,NM,"Torrance County, NM",,,1,"Albuquerque, NM","Albuquerque, NM MSA",2024,86400.0,31200.0,43200.0,51840.0,69100.0,104200,137100
3506199999,35061,NM,"Valencia County, NM",,,1,"Albuquerque, NM","Albuquerque, NM MSA",2024,86400.0,31200.0,43200.0,51840.0,69100.0,104200,137100
2204399999,22043,LA,"Grant Parish, LA",,,1,"Alexandria, LA","Alexandria, LA MSA",2024,74200.0,31200.0,34500.0,41400.0,55200.0,104200,112950
2207999999,22079,LA,"Rapides Parish, LA",,,1,"Alexandria, LA","Alexandria, LA MSA",2024,74200.0,31200.0,34500.0,41400.0,55200.0,104200,112950
4202599999,42025,PA,"Carbon County, PA",,,1,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",2024,98300.0,31200.0,49150.0,58980.0,78650.0,104200,150300
4207799999,42077,PA,"Lehigh County, PA",,,1,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",2024,98300.0,31200.0,49150.0,58980.0,78650.0,104200,150300
4209599999,42095,PA,"Northampton County, PA",,,1,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",2024,98300.0,31200.0,49150.0,58980.0,78650.0,104200,150300
3404199999,34041,NJ,"Warren County, NJ",,,1,"Allentown-Bethlehem-Easton, PA-NJ","Warren County, NJ HUD Metro FMR Area",2024,115100.0,34550.0,57550.0,69060.0,92100.0,125700,188550
4201399999,42013,PA,"Blair County, PA",,,1,"Altoona, PA","Altoona, PA MSA",2024,86900.0,31200.0,42450.0,50940.0,67900.0,104200,125700
4801199999,48011,TX,"Armstrong County, TX",,,1,"Amarillo, TX","Amarillo, TX HUD Metro FMR Area",2024,87700.0,31200.0,43850.0,52620.0,70150.0,104200,143550
4806599999,48065,TX,"Carson County, TX",,,1,"Amarillo, TX","Amarillo, TX HUD Metro FMR Area",2024,87700.0,31200.0,43850.0,52620.0,70150.0,104200,143550
4837599999,48375,TX,"Potter County, TX",,,1,"Amarillo, TX","Amarillo, TX HUD Metro FMR Area",2024,87700.0,31200.0,43850.0,52620.0,70150.0,104200,143550
4838199999,48381,TX,"Randall County, TX",,,1,"Amarillo, TX","Amarillo, TX HUD Metro FMR Area",2024,87700.0,31200.0,43850.0,52620.0,70150.0,104200,143550
4835999999,48359,TX,"Oldham County, TX",,,1,"Amarillo, TX","Oldham County, TX HUD Metro FMR Area",2024,80200.0,31200.0,40100.0,48120.0,64150.0,104200,131400
1916999999,19169,IA,"Story County, IA",,,1,"Ames, IA","Ames, IA HUD Metro FMR Area",2024,120700.0,35100.0,58500.0,70200.0,93600.0,123900,185850
1901599999,19015,IA,"Boone County, IA",,,1,"Ames, IA","Boone County, IA HUD Metro FMR Area",2024,104000.0,31200.0,50100.0,60120.0,80150.0,108800,163200
2501501370,25015,MA,"Hampshire County, MA",,Amherst Town city,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501504825,25015,MA,"Hampshire County, MA",,Belchertown town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501513590,25015,MA,"Hampshire County, MA",,Chesterfield town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501516040,25015,MA,"Hampshire County, MA",,Cummington town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501519370,25015,MA,"Hampshire County, MA",,Easthampton Town city,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501526290,25015,MA,"Hampshire County, MA",,Goshen town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501526535,25015,MA,"Hampshire County, MA",,Granby town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501527690,25015,MA,"Hampshire County, MA",,Hadley town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501529265,25015,MA,"Hampshire County, MA",,Hatfield town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501531785,25015,MA,"Hampshire County, MA",,Huntington town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501540990,25015,MA,"Hampshire County, MA",,Middlefield town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501546330,25015,MA,"Hampshire County, MA",,Northampton city,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501552560,25015,MA,"Hampshire County, MA",,Pelham town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501554030,25015,MA,"Hampshire County, MA",,Plainfield town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501562745,25015,MA,"Hampshire County, MA",,Southampton town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501564145,25015,MA,"Hampshire County, MA",,South Hadley town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501572880,25015,MA,"Hampshire County, MA",,Ware town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501576380,25015,MA,"Hampshire County, MA",,Westhampton town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501579915,25015,MA,"Hampshire County, MA",,Williamsburg town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
2501582175,25015,MA,"Hampshire County, MA",,Worthington town,1,"Springfield, MA","Springfield, MA HUD Metro FMR Area",2024,97000.0,32850.0,54750.0,65700.0,87600.0,119600,179400
0202099999,02020,AK,"Anchorage Municipality, AK",,,1,"Anchorage, AK","Anchorage, AK HUD Metro FMR Area",2024,121100.0,39000.0,60550.0,72660.0,96900.0,129000,193500
