zip,state,median_family_income,ami_30,ami_50,ami_60,ami_80,ami_100,ami_150
,AS,37900.0,17700.0,29500.0,35400.0,47200.0,97800,97800
,GU,80100.0,29050.0,48450.0,58140.0,77500.0,97800,133200
,MP,43900.0,17450.0,29050.0,34860.0,46500.0,97800,97800
00820,VI,64900.0,24250.0,40400.0,48480.0,64650.0,97800,111900
00840,VI,64900.0,24250.0,40400.0,48480.0,64650.0,97800,111900
00850,VI,64900.0,24250.0,40400.0,48480.0,64650.0,97800,111900
00830,VI,79500.0,37750.0,62950.0,75540.0,100700.0,115300,172950
00831,VI,79500.0,37750.0,62950.0,75540.0,100700.0,115300,172950
00801,VI,67900.0,27850.0,46400.0,55680.0,74250.0,97800,127500
00802,VI,67900.0,27850.0,46400.0,55680.0,74250.0,97800,127500
00803,VI,67900.0,27850.0,46400.0,55680.0,74250.0,97800,127500
00804,VI,67900.0,27850.0,46400.0,55680.0,74250.0,97800,127500
