zcta,zip_code_name,median_family_income,ami_30,ami_50,ami_60,ami_80,ami_100,ami_150
00601,"Adjuntas, PR",24600.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00602,"Aguada, PR",26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00603,"Aguadilla, PR",26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00606,"Maricao, PR",26400.0,8300.0,13800.0,16560.0,22100.0,104200,104200
00610,"Añasco, PR",26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00611,"Utuado, Añasco, Angeles, PR (PO boxes)",26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00612,"Arecibo, PR",33900.0,9400.0,15650.0,18780.0,25050.0,104200,104200
00616,"Bajadero, PR",33900.0,9400.0,15650.0,18780.0,25050.0,104200,104200
00617,"Barceloneta, PR",35100.0,11050.0,18450.0,22140.0,29500.0,104200,104200
00622,"Boqueron, PR",29700.0,8900.0,14850.0,17820.0,23750.0,104200,104200
00623,"Cabo Rojo, PR",29700.0,8900.0,14850.0,17820.0,23750.0,104200,104200
00624,"Peñuelas, PR",24600.0,8300.0,13800.0,16560.0,22100.0,104200,104200
00627,"Camuy, PR",33900.0,9400.0,15650.0,18780.0,25050.0,104200,104200
00631,"Lares, Castañer, PR (PO boxes)",24600.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00636,"San Germán, Rosario, PR (PO boxes)",29700.0,8900.0,14850.0,17820.0,23750.0,104200,104200
00637,"Sabana Grande, PR",29700.0,8900.0,14850.0,17820.0,23750.0,104200,104200
00638,"Ciales, PR",23700.0,9050.0,15050.0,18060.0,24050.0,104200,104200
00641,"Utuado, PR",24600.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00646,"Dorado, PR",35100.0,11050.0,18450.0,22140.0,29500.0,104200,104200
00647,"Guánica Ensenada, PR",26900.0,8300.0,13800.0,16560.0,22100.0,104200,104200
00650,"Florida, PR",23700.0,9050.0,15050.0,18060.0,24050.0,104200,104200
00652,"Arecibo, Garrochales, PR",33900.0,9400.0,15650.0,18780.0,25050.0,104200,104200
00653,"Guánica, PR",26900.0,8300.0,13800.0,16560.0,22100.0,104200,104200
00656,"Guayanilla, PR",26900.0,8300.0,13800.0,16560.0,22100.0,104200,104200
00659,"Hatillo, PR",33900.0,9400.0,15650.0,18780.0,25050.0,104200,104200
00660,"Hormigueros, PR",27300.0,9300.0,15500.0,18600.0,24800.0,104200,104200
00662,"Isabela, PR",26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00664,"Jayuya, PR",26400.0,8300.0,13800.0,16560.0,22100.0,104200,104200
00667,"Lajas, PR",29700.0,8900.0,14850.0,17820.0,23750.0,104200,104200
00669,"Lares, PR",26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00670,"Las Marías, PR",26400.0,8300.0,13800.0,16560.0,22100.0,104200,104200
00674,"Manatí, PR",35100.0,11050.0,18450.0,22140.0,29500.0,104200,104200
00676,"Moca, PR",26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00677,"Rincón, PR",26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00678,"Quebradillas, PR",26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00680,"Mayaguez, PR",26500.0,8900.0,14850.0,17820.0,23750.0,104200,104200
00682,"Mayaguez, PR",27300.0,9300.0,15500.0,18600.0,24800.0,104200,104200
00683,"San Germán, PR",29700.0,8900.0,14850.0,17820.0,23750.0,104200,104200
00685,"San Sebastian, PR",26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00687,"Morovis, PR",35100.0,11050.0,18450.0,22140.0,29500.0,104200,104200
00688,"Arecibo, Sabana Hoyos, PR",33900.0,9400.0,15650.0,18780.0,25050.0,104200,104200
00690,"Aguadilla, San Antonio, PR",26500.0,9100.0,15150.0,18180.0,24250.0,104200,104200
00692,"Vega Alta, PR",35100.0,11050.0,18450.0,22140.0,29500.0,104200,104200
