zip_census_tabulation_area,zip_code_name,2023_median_family_income,50pct_ami_4_persons,80pct_ami_4_persons,100pct_ami_4_persons,150pct_ami_4_persons,extremely_low_ami_4_persons
00601,"Adjuntas, PR",26900,14000,22400,96200,96200,14000
00602,"Aguada, PR",26900,14150,22650,96200,96200,14150
00603,"Aguadilla, PR",26900,14150,22650,96200,96200,14150
00606,"Maricao, PR",24500,12950,20700,96200,96200,12950
00610,"Anasco, PR",22700,14150,22650,96200,96200,14150
00611,"Angeles, PR (PO Boxes)",26900,14150,22650,96200,96200,14150
00612,"Arecibo, PR",28000,14250,22800,96200,96200,14250
00616,"Bajadero, PR",28000,14250,22800,96200,96200,14250
00617,"Barceloneta, PR",34900,16800,26900,96200,96200,16800
00622,"Boqueron, PR",26900,13500,21600,96200,96200,13500
00623,"Cabo Rojo, PR",26900,13500,21600,96200,96200,13500
00624,"Penuelas, PR",24500,12950,20700,96200,96200,12950
00627,"Camuy, PR",28000,14250,22800,96200,96200,14250
00631,"Castaner, PR",26900,14000,22400,96200,96200,14000
00636,"Rosario, PR",26900,13500,21600,96200,96200,13500
00637,"Sabana Grande, PR",26900,13500,21600,96200,96200,13500
00638,"Ciales, PR",25400,13700,21900,96200,96200,13700
00641,"Utuado, PR",26900,14000,22400,96200,96200,14000
00646,"Dorado, PR",34900,16800,26900,96200,96200,16800
00647,"Ensenada, PR",24500,12950,20700,96200,96200,12950
00650,"Florida, PR",25400,13700,21900,96200,96200,13700
00652,"Garrochales, PR",28000,14250,22800,96200,96200,14250
00653,"Guanica, PR",24500,12950,20700,96200,96200,12950
00656,"Guayanilla, PR",24500,12950,20700,96200,96200,12950
00659,"Hatillo, PR",28000,14250,22800,96200,96200,14250
00660,"Hormigueros, PR",22700,14800,23700,96200,96200,14800
00662,"Isabela, PR",26900,14150,22650,96200,96200,14150
00664,"Jayuya, PR",24800,12950,20700,96200,96200,12950
00667,"Lajas, PR",26900,13500,21600,96200,96200,13500
00669,"Lares, PR",22700,14150,22650,96200,96200,14150
00670,"Las Marias, PR",22700,12950,20700,96200,96200,12950
00674,"Manati, PR",34900,16800,26900,96200,96200,16800
00676,"Moca, PR",26900,14150,22650,96200,96200,14150
00677,"Rincon, PR",26900,14150,22650,96200,96200,14150
00678,"Quebradillas, PR",26900,14150,22650,96200,96200,14150
00680,"Mayaguez, PR",22700,13500,21600,96200,96200,13500
00682,"Mayaguez, PR",22700,14800,23700,96200,96200,14800
00683,"San German, PR",26900,13500,21600,96200,96200,13500
00685,"San Sebastian, PR",26900,14150,22650,96200,96200,14150
00687,"Morovis, PR",34900,16800,26900,96200,96200,16800
00688,"Sabana Hoyos, PR",28000,14250,22800,96200,96200,14250
00690,"San Antonio, PR",26900,14150,22650,96200,96200,14150
00692,"Vega Alta, PR",34900,16800,26900,96200,96200,16800
00693,"Vega Baja, PR",34900,16800,26900,96200,96200,16800
00694,"Vega Baja, PR",34900,16800,26900,96200,96200,16800
00698,"YAUCO, PR",24500,12950,20700,96200,96200,12950
00703,"Aguas Buenas, PR",34400,16800,26900,96200,96200,16800
00704,"Aguirre, PR",24800,12950,20700,96200,96200,12950
00705,"Aibonito, PR",24800,12950,20700,96200,96200,12950
00707,"Maunabo, PR",34900,16800,26900,96200,96200,16800
00714,"Arroyo, PR",25700,13300,21300,96200,96200,13300
00715,"Mercedita, PR",27600,14000,22400,96200,96200,14000
00716,"Ponce, PR",27600,14000,22400,96200,96200,14000
00717,"Ponce, PR",27600,14000,22400,96200,96200,14000
00718,"Naguabo, PR",29200,15650,25050,96200,96200,15650
00719,"Naranjito, PR",34900,16800,26900,96200,96200,16800
00720,"Orocovis, PR",24800,12950,20700,96200,96200,12950
00723,"Patillas, PR",25700,13300,21300,96200,96200,13300
00725,"Caguas, PR",34400,16800,26900,96200,96200,16800
00727,"Caguas, PR",34400,17200,27500,96200,96200,17200
00728,"Ponce, PR",27600,14000,22400,96200,96200,14000
00729,"Canovanas, PR",34900,16800,26900,96200,96200,16800
00730,"Ponce, PR",27600,14000,22400,96200,96200,14000
00731,"Ponce, PR",27600,14000,22400,96200,96200,14000
00735,"Ceiba, PR",29200,15650,25050,96200,96200,15650
00736,"Cayey, PR",34400,17200,27500,96200,96200,17200
00738,"Fajardo, PR",29200,15650,25050,96200,96200,15650
00739,"Cidra, PR",34400,17200,27500,96200,96200,17200
00740,"Puerto Real, PR",29200,15650,25050,96200,96200,15650
00741,"Punta Santiago, PR",34900,16800,26900,96200,96200,16800
00745,"Rio Grande, PR",34900,16800,26900,96200,96200,16800
00751,"Salinas, PR",24800,12950,20700,96200,96200,12950
00754,"San Lorenzo, PR",34400,17200,27500,96200,96200,17200
00757,"Santa Isabel, PR",24800,12950,20700,96200,96200,12950
00765,"Vieques, PR",24800,12950,20700,96200,96200,12950
00766,"Villalba, PR",25400,13700,21900,96200,96200,13700
00767,"Yabucoa, PR",34900,16800,26900,96200,96200,16800
00769,"Coamo, PR",24800,12950,20700,96200,96200,12950
00771,"Las Piedras, PR",34900,16800,26900,96200,96200,16800
00772,"Loiza, PR",34900,16800,26900,96200,96200,16800
00773,"Luquillo, PR",29200,15650,25050,96200,96200,15650
00775,"Culebra, PR (PO Boxes)",24800,12950,20700,96200,96200,12950
00777,"Juncos, PR",34400,16800,26900,96200,96200,16800
00778,"Gurabo, PR",34400,17200,27500,96200,96200,17200
00780,"Coto Laurel, PR",27600,14000,22400,96200,96200,14000
00782,"Comerio, PR",25400,13700,21900,96200,96200,13700
00783,"Corozal, PR",25400,13700,21900,96200,96200,13700
00784,"Guayama, PR",25700,13300,21300,96200,96200,13300
00786,"La Plata, PR (PO Boxes)",25400,13700,21900,96200,96200,13700
00791,"Humacao, PR",34900,16800,26900,96200,96200,16800
00794,"Barranquitas, PR",24800,12950,20700,96200,96200,12950
00795,"Juana Diaz, PR",27600,14000,22400,96200,96200,14000
00901,"San Juan, PR",34900,16800,26900,96200,96200,16800
00906,"San Juan, PR",34900,16800,26900,96200,96200,16800
00907,"San Juan, PR",34900,16800,26900,96200,96200,16800
00909,"San Juan, PR",34900,16800,26900,96200,96200,16800
00911,"San Juan, PR",34900,16800,26900,96200,96200,16800
00912,"San Juan, PR",34900,16800,26900,96200,96200,16800
00913,"San Juan, PR",34900,16800,26900,96200,96200,16800
00915,"San Juan, PR",34900,16800,26900,96200,96200,16800
00917,"San Juan, PR",34900,16800,26900,96200,96200,16800
00918,"San Juan, PR",34900,16800,26900,96200,96200,16800
00920,"San Juan, PR",34900,16800,26900,96200,96200,16800
00921,"San Juan, PR",34900,16800,26900,96200,96200,16800
00923,"San Juan, PR",34900,16800,26900,96200,96200,16800
00924,"San Juan, PR",34900,16800,26900,96200,96200,16800
00925,"San Juan, PR",34900,16800,26900,96200,96200,16800
00926,"San Juan, PR",34900,16800,26900,96200,96200,16800
00927,"San Juan, PR",34900,16800,26900,96200,96200,16800
00934,"Fort Buchanan, PR",34900,16800,26900,96200,96200,16800
00949,"Toa Baja, PR",34900,16800,26900,96200,96200,16800
00950,"Toa Baja, PR",34900,16800,26900,96200,96200,16800
00951,"Toa Baja, PR",34900,16800,26900,96200,96200,16800
00952,"Sabana Seca, PR",34900,16800,26900,96200,96200,16800
00953,"Toa Alta, PR",34900,16800,26900,96200,96200,16800
00956,"Bayamon, PR",34900,16800,26900,96200,96200,16800
00957,"Bayamon, PR",34900,16800,26900,96200,96200,16800
00959,"Bayamon, PR",34900,16800,26900,96200,96200,16800
00960,"Bayamon, PR",34900,16800,26900,96200,96200,16800
00961,"Bayamon, PR",34900,16800,26900,96200,96200,16800
00962,"Catano, PR",34900,16800,26900,96200,96200,16800
